Generation,Mean Fitness,Std Fitness
0,0.25576939221197986,0.007083701569583159
1,0.3748342074327827,0.046010918360336946
2,0.4058784879679156,0.04997956848970398
3,0.43274700242340475,0.043810642192204596
4,0.4494716724170918,0.03851923294208343
5,0.4560354459335571,0.040790363920931966
6,0.46550490014233936,0.039093234840283056
7,0.47749350270136326,0.043572991622714115
8,0.48257132630281413,0.03893088761438142
9,0.49138758252647485,0.044658906362659255
10,0.49373712965590594,0.04447710354237624
11,0.49549347663493243,0.042695175964478214
12,0.4974132095658697,0.0419173334574925
13,0.5033848850903284,0.039054634970121446
14,0.5058086157126517,0.037802618416571544
15,0.5109115191761587,0.038255581187798794
16,0.5122598070544149,0.03663352271154104
17,0.5129293412258248,0.03619926549378911
18,0.5130055269515007,0.036225416731765006
19,0.5140645343603832,0.03531684040060515
20,0.5151759449832193,0.034677717061221094
21,0.5184546001820179,0.03561159987104879
22,0.5232478590444262,0.03852253460281841
23,0.5266771855499137,0.037615863074457336
24,0.5290138087767747,0.03731393254745224
25,0.5296114193707935,0.03713320986050213
26,0.5296114193707935,0.03713320986050213
27,0.5296114193707935,0.03713320986050213
28,0.5296891577724147,0.0370287509077479
29,0.5298812109831947,0.036855896845069534
30,0.5307984934882408,0.037872176293742184
31,0.5312081607055583,0.03754958679941365
32,0.5312081607055583,0.03754958679941365
33,0.5318519731252425,0.03684533295338747
34,0.5327133921172502,0.03750389744469089
35,0.5327133921172502,0.03750389744469089
36,0.5327133921172502,0.03750389744469089
37,0.5331176665724511,0.037046524176404215
38,0.534346997978662,0.03662395098356086
39,0.5357122287660409,0.03841256073714952
40,0.5397136807371389,0.036942988461314025
41,0.540160064082831,0.03662379391598393
42,0.5422393657406087,0.036148573436685975
43,0.5443452149777716,0.03435715731695609
44,0.5448656509538764,0.03406086213641056
45,0.5448656509538764,0.03406086213641056
46,0.5449170413212548,0.03403611513295632
47,0.5462436488229772,0.03426381530985218
48,0.5465071007550577,0.034428082650965385
49,0.5503000206418243,0.03840464676644391
50,0.5513237791857035,0.03825368980395981
