Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.009985050052923043,0.00012485160477223006
2,0.012047526500249974,0.00018011948172682945
3,0.013002533194083782,0.00015242723828390631
4,0.013447960556884233,0.00015085826722089165
5,0.01360672694295602,0.00017235678710212675
6,0.013642253518123374,0.00014068437012892268
7,0.013618206968460073,0.00012390478570569477
8,0.013628122647590245,0.00014607255504154587
9,0.013603731988852244,0.00014577312908811588
10,0.013569820858804614,0.00011991080445083228
11,0.013521137593093521,0.00011102291514269724
12,0.013492078205612353,0.00011609849498100582
13,0.01353870955255555,0.0001627643765951916
14,0.013566143926032906,0.00011301626352991115
15,0.013537995792796072,0.00013117443478240736
16,0.013546846636861856,0.0001215908451918166
17,0.013533268670206924,0.00012365317850563905
18,0.01347939592825723,0.00010875609746245523
19,0.013516767124656555,0.00012411864568867136
20,0.01354366241196253,0.00013555555417614967
21,0.013539559495333434,0.0001576778492081806
22,0.013580023832922205,0.0001425618986958766
23,0.013514591685209208,0.00014084344457687838
24,0.013537790531169314,0.0001296121236109203
25,0.013490762626924861,0.00012238782975957716
26,0.01347383124479197,0.00010569273736659253
27,0.013522764780550556,0.00013541708903226152
28,0.013486942006333057,0.00013035767265208627
29,0.013530247359672972,0.00012368834213593224
30,0.013553624627421315,0.00014405529238815574
31,0.01350190840152698,0.00013002135027120085
32,0.013518062987653812,0.0001573794691005419
33,0.013503981570373018,0.00011658451033926792
34,0.01354079419312752,0.00010387454991201052
35,0.013587958743320182,0.0001259432425430307
36,0.013594528072284125,0.00014017805105232217
37,0.013548968251024097,0.00012429613980814814
38,0.013563239270708828,0.00013808696022973556
39,0.013511026891804556,0.00014800075496367135
40,0.013519078858937716,0.00014289750204306083
41,0.013503294083875232,0.00013160579538898598
42,0.013504125714899671,0.00013531178395921633
43,0.013513605371866683,0.00010995101338008177
44,0.013534429023538803,0.00012978059719838443
45,0.013536131297441733,0.00013228537718123256
46,0.01351584695251822,0.00011378618213839987
47,0.013487665075011463,0.00012795125694401138
48,0.013519631680613835,0.00012042177919938244
49,0.013565244231682639,0.0001349760793503176
50,0.013554262897592788,0.0001221183395555497
