Generation,Mean Fitness,Std Fitness
0,0.335513082373741,0.0063741307080405415
1,0.3878676874022655,0.01109025421669444
2,0.45822938055282014,0.01675468500730275
3,0.5464750674444908,0.031927236252550874
4,0.6707502541849546,0.063077568086202
5,0.7960678337269179,0.07226528890457198
6,0.835261455708446,0.04697962869469636
7,0.8561995608807602,0.04496463123802003
8,0.8679058613916957,0.03858642188922864
9,0.8835273603710425,0.030695245752934117
10,0.8998943105155949,0.027366975820227884
11,0.915497595388749,0.029416191201581836
12,0.9297720548815989,0.03447888156800462
13,0.9454248287958006,0.035871926059966204
14,0.9610078933566604,0.03782673502914908
15,0.9752082874577919,0.03754767390579504
16,0.991654254690274,0.03655886137661599
17,1.0034907933480615,0.042692315276164815
18,1.0171703914833095,0.04637600376404688
19,1.0254948932714845,0.04805345830092896
20,1.0352371577733714,0.04850803299967813
21,1.0424700262477469,0.047902749590359096
22,1.0508963290777185,0.052456296411932564
23,1.0635314408272059,0.05480527400951668
24,1.0652265651020405,0.057338820023646785
25,1.0703564055740562,0.056138596257965155
26,1.079051502569866,0.06511802465321896
27,1.0801885008988188,0.055160220837334274
28,1.0783138306338516,0.0668772896758997
29,1.093496590044693,0.0576646896380293
30,1.0884972336101006,0.05272174289047396
31,1.0977273582454483,0.05589981279441948
32,1.097644885479734,0.054388283060345356
33,1.1007664106092347,0.05506441749983489
34,1.105109185062185,0.05647499307156486
35,1.1104108101700152,0.05842862562128326
36,1.115831833687941,0.056146087794321516
37,1.1226862457206739,0.05639919196295285
38,1.1231238668262213,0.06303399772428861
39,1.1249625692857834,0.061578347428555
40,1.1329746044998756,0.055974216286404206
41,1.1353735267260898,0.054713613941523645
42,1.1391875277918597,0.059702159559899326
43,1.1407970895436708,0.0625686361886779
44,1.141870365308383,0.057493042336172626
45,1.1398964449965219,0.06197135576137879
46,1.1469868651224788,0.05545909548443101
47,1.1497720966987905,0.059747786322501856
48,1.1527954385913806,0.06382789433420867
49,1.1512014359541471,0.06610824158873703
50,1.160200148317318,0.06336181741753602
