Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.0021496376426128785,4.6980371160058546e-05
2,0.002202511434567766,5.6466245757177186e-05
3,0.0019110912439639204,6.450412093376733e-05
4,0.001780350796237204,0.00017491909016225562
5,0.0016144734604397663,0.00013156267588140447
6,0.0014973541799874477,0.00012199818959172437
7,0.0015297550945384765,0.00026133624391062014
8,0.0018079680334532667,0.0004507603270800225
9,0.0021075209469237043,0.000533477876527945
10,0.0024054092534619687,0.0005939153449571321
11,0.0027229190958011863,0.0007108085677046956
12,0.0030425675173451033,0.0008223858905005586
13,0.003336839434890121,0.0009050041883404604
14,0.0036683019773172897,0.0009728475493086333
15,0.003995573651602131,0.001097421691761447
16,0.004340574149521092,0.001262131642217694
17,0.004703508970968805,0.0014069767716706513
18,0.005110506620771738,0.00156222567502896
19,0.005504396069398249,0.0017146830151418717
20,0.005967871578936995,0.001949497979304247
21,0.006345720184839699,0.0021503445351469834
22,0.0067015761803827685,0.002215232505844113
23,0.007070832673827184,0.0022643373335280064
24,0.007416815415155311,0.0023746020737694115
25,0.0076960791495510866,0.002431388651088254
26,0.007964026434973749,0.002480037535792107
27,0.008220647313565964,0.002502436886101722
28,0.008517906029228648,0.0026243822307160506
29,0.008737541429891174,0.0026226399708470134
30,0.008972863516391207,0.002749263475347341
31,0.009107406951344304,0.0027280645801197496
32,0.009303986962941387,0.0028159675539219994
33,0.009454370771625599,0.0028089593365322406
34,0.009542649056389855,0.002904031004408934
35,0.009768713279618505,0.0031584696687789265
36,0.009921110937653197,0.0032032696743212056
37,0.010025897091876027,0.0032599359595196584
38,0.01009755529657419,0.003235347876144816
39,0.010221092383747276,0.003265635492735465
40,0.010303405476289816,0.003298000623867442
41,0.010404253616462323,0.0032425477041606375
42,0.010541642443658109,0.003315038959640213
43,0.010569705909374883,0.003273923638754287
44,0.010620717932473035,0.003347856297357328
45,0.010744154740294847,0.0034158706896329936
46,0.010819429267905677,0.003469090480651727
47,0.010830615668896171,0.003496281981605046
48,0.010982889723301774,0.003653893060908007
49,0.010998543512362556,0.003715361797958832
50,0.01100785400550044,0.0037590115620443824
