Generation,Mean Fitness,Std Fitness
0,0.23749563020121553,0.005899451811854984
1,0.2755439043485395,0.009582113861719564
2,0.32806411155639476,0.017021434671609156
3,0.3825829815369233,0.025072356687850912
4,0.4484648890423292,0.040345722542595504
5,0.5296015189493943,0.06283309058081361
6,0.5918006945477018,0.060745171772577246
7,0.625773626877214,0.049308993770610536
8,0.6469401846627039,0.04160631186042736
9,0.6677704267893633,0.03805445087194967
10,0.6868712538950589,0.034762593811926756
11,0.7068164501030112,0.030398061758463896
12,0.72901630515171,0.02798262114469693
13,0.7492979320091151,0.029692446722635185
14,0.7673825017969441,0.03182837336049932
15,0.7812163752137619,0.03219834472860336
16,0.7982055507182146,0.030766297561404917
17,0.8124135701541207,0.03018095519884243
18,0.8258648442299311,0.030940710446662252
19,0.8393952582941702,0.03202635896977427
20,0.8530147885085093,0.033787371556716614
21,0.861718710268263,0.03538800078405165
22,0.862108808754436,0.042949064450285256
23,0.8683885861879411,0.050520453336850485
24,0.8539949670860182,0.16035128959687744
25,0.8611511625627528,0.16179943844063008
26,0.8892407410017502,0.03834189623494825
27,0.8985889523608895,0.03451912759718346
28,0.9000095328526367,0.0432076202278463
29,0.9047354340504155,0.04383217482354405
30,0.9119656236627247,0.03544714825120923
31,0.9184517463256366,0.0347510974353216
32,0.919276278290919,0.04163064727183077
33,0.9240832807908701,0.03717057762191105
34,0.928786498198345,0.03923095558839381
35,0.9360021250074846,0.03672395414477505
36,0.935259279820687,0.03714407919682703
37,0.9409796403085028,0.03467785776275184
38,0.9405821980556763,0.047058839052498344
39,0.9225950675428308,0.17342896146294653
40,0.9449942799378678,0.04413790648574331
41,0.9542389545460027,0.04113623180237689
42,0.9570676169440621,0.042503673709084366
43,0.9211728772967033,0.1774886764863996
44,0.9613950147820978,0.04244771559699786
45,0.9627001642302072,0.04320634062299748
46,0.9660663716042952,0.05012615484668724
47,0.9610702996111407,0.052051277017128736
48,0.9419708260979175,0.17749828319903874
49,0.968938041270142,0.04557319096979022
50,0.9721707530605191,0.06753154026005967
