Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.0021423718144037538,4.257401180557757e-05
2,0.0022115329296343482,5.494326021475426e-05
3,0.0019156288072344537,5.315716842568941e-05
4,0.001741410838604035,7.370453559101275e-05
5,0.0016109832140400729,0.0001242407107874026
6,0.0015014698425145888,0.00011660910567162987
7,0.0016887248381962244,0.00034168433142165594
8,0.0019913607959037146,0.0004857087086379106
9,0.0022879906377499953,0.0005740221804137404
10,0.002587792885575818,0.0005971838069696102
11,0.0029048728796068836,0.0006602841624035408
12,0.003245395316230307,0.0007519659797512786
13,0.00353741595922302,0.0008181547632400985
14,0.003859902510348503,0.0008815235265272772
15,0.004227774636806512,0.0009677609345663491
16,0.004606851808871761,0.0010300121435653062
17,0.005039392624711306,0.0011680409681443583
18,0.005514086168185686,0.0012355798060490301
19,0.005998945102582901,0.0013273975918780938
20,0.006460716570445483,0.0014668651252682538
21,0.006926391713153025,0.0016638490411313154
22,0.007356480423259508,0.001852181562836009
23,0.007717905130351247,0.0019051747917053494
24,0.008205164040193584,0.0020197234480957595
25,0.008629442982270927,0.002105832481706282
26,0.009076201889973259,0.002156104392258118
27,0.009432822210625046,0.0022585667181427415
28,0.009741802474773041,0.0023072143079335902
29,0.009951351900456111,0.0023634512464781785
30,0.010140245362546933,0.0022999012736214315
31,0.01032360132038859,0.0023555137231326723
32,0.010597837284103214,0.0024540031422034293
33,0.010767492040179431,0.002531430087782249
34,0.011015405601569403,0.002626142385467586
35,0.011161948071830522,0.0026174797216392647
36,0.011398797632715497,0.0025963787598484796
37,0.011649634043531108,0.0027190864670575956
38,0.011760328073113344,0.002790532137244094
39,0.012010540981539086,0.002849518719637055
40,0.01211707658117364,0.0029045055559922743
41,0.012302000962880097,0.002896893074457991
42,0.012436934077765858,0.002898085145022268
43,0.01250549310235664,0.0029232670676409478
44,0.012706153746871698,0.0029721290355095285
45,0.012810453816117649,0.00296962200801496
46,0.012829181816039212,0.002869987793615925
47,0.012950688336328493,0.003098129039116452
48,0.012971067409327337,0.0030847156112996485
49,0.012989634512862,0.0030800800304313985
50,0.01312626335962912,0.0030700422190162056
