Generation,Fitness
0,0.29650231377688885
1,0.42756670871160807
2,0.42756670871160807
3,0.5108427077189354
4,0.59525454832583
5,0.6008572332030842
6,0.6371978703633236
7,0.6890192679164292
8,0.7288230051942232
9,0.7365156488241746
10,0.7506042249722856
11,0.7840204918759068
12,0.8551395768134082
13,0.8551395768134082
14,0.8967552752155099
15,0.8967552752155099
16,0.8967552752155099
17,0.9006449767132692
18,0.9006449767132692
19,0.9160965876831384
20,0.9219285316919311
21,0.9219285316919311
22,1.030828481333387
23,1.030828481333387
24,1.030828481333387
25,1.030828481333387
26,1.030828481333387
27,1.030828481333387
28,1.030828481333387
29,1.030828481333387
30,1.030828481333387
31,1.030828481333387
32,1.030828481333387
33,1.062562112773126
34,1.062562112773126
35,1.062562112773126
36,1.062562112773126
37,1.062562112773126
38,1.062562112773126
39,1.062562112773126
40,1.062562112773126
41,1.062562112773126
42,1.062562112773126
43,1.062562112773126
44,1.062562112773126
45,1.0647214288238622
46,1.0647214288238622
47,1.0661325441338976
48,1.0661325441338976
49,1.0661325441338976
50,1.0661325441338976
