Generation,Diversity
0,0.002876453866383415
1,0.00784548648196651
2,0.009973846597726438
3,0.010801128937359057
4,0.011113547614047854
5,0.011456470049837885
6,0.011476089432718868
7,0.01146924512072648
8,0.011515008370788444
9,0.01153303520078802
10,0.011395157669904945
11,0.011348571782145728
12,0.011506160944230015
13,0.01149209183557983
14,0.01140625382277624
15,0.011288129845882434
16,0.011315948154946544
17,0.011374151881621091
18,0.011247962477665121
19,0.011375226049090388
20,0.01133302669955945
21,0.011296117380314776
22,0.011332243394065866
23,0.01129760094279085
24,0.011337503981018938
25,0.011323657486402365
26,0.011422035761896356
27,0.011280253057544109
28,0.011244027443130635
29,0.011344859504924596
30,0.011403928582557581
31,0.011307892430596218
32,0.011282121889961036
33,0.01142211085335516
34,0.011303043999193478
35,0.011324501722622648
36,0.011353185750257592
37,0.011268657507007644
38,0.011270050098105958
39,0.01132203212123442
40,0.011218599702733168
41,0.011358379672141303
42,0.011425501396001595
43,0.01144425546497485
44,0.011304480454346844
45,0.011296479708116772
46,0.011217267529019043
47,0.011141881296284515
48,0.011174829510684643
49,0.011193615987004852
50,0.0112328159435209
51,0.011277911180365745
52,0.011386230606379865
53,0.011369755592109064
54,0.011313760934654464
55,0.011287414001908469
56,0.011256319605732971
57,0.011131719909295831
58,0.011264781114882343
59,0.01118633317307917
60,0.011225337526876801
61,0.011307229394343482
62,0.011329293128016003
63,0.011298760129116871
64,0.011325515810337148
65,0.011414639245435726
66,0.01131606508565125
67,0.011292376743999992
68,0.011300317339842552
69,0.011269569773328247
70,0.011410918637282483
71,0.011369754929138758
72,0.011330486030243331
73,0.011244046320510969
74,0.011197260145033331
75,0.011298231873795146
76,0.011348680134264336
77,0.011373776412655355
78,0.011437751913790529
79,0.01133472387748541
80,0.011276190531576961
81,0.01136197887051846
82,0.011280158281382345
83,0.011184875846068093
84,0.011212805496253064
85,0.011172232966709248
86,0.011254921163313357
87,0.011327204921502774
88,0.011335243034534023
89,0.01134025504825906
90,0.011247679478268284
91,0.011204581306608735
92,0.011311292870109785
93,0.011234780867217652
94,0.011192707253301584
95,0.011326820174766336
96,0.011267793346875062
97,0.01133746239700003
98,0.011419457172889103
99,0.01137166771025604
100,0.011363210457077097
