Company Symbol,Mean Excess Return,Volatility,Sharpe Ratio
ELS,0.2160774307346561,0.171308168180714,1.2613375826114417
REXR,0.2115477953030189,0.1838484327528912,1.1506641211750668
ADBE,0.2933992366310685,0.2618716403798775,1.120393320198615
MA,0.2353544373801752,0.215179328767381,1.0937595108617726
MSFT,0.2497967360483485,0.2323170476106867,1.0752406619205754
RSG,0.1510021552380307,0.1415519722608935,1.0667612243488889
SUI,0.1856934463199841,0.1747856781963014,1.0624065325960643
BRO,0.166200408454348,0.1598595926765538,1.039664906382088
PCI,0.107369929807622,0.1033951328213553,1.038442786210588
TRNO,0.1939346722939454,0.1868841430412166,1.0377267388125802
NEE,0.1654535078306609,0.1607819355784061,1.029055330348208
WM,0.1512667645441186,0.147969232214734,1.0222852567390446
SPGI,0.2152585466248459,0.211919631191292,1.015755574010697
SNPS,0.2119480778614715,0.2102073041687174,1.0082812236217868
CDNS,0.2470475575176342,0.2495435813367181,0.989997643675251
V,0.1967785463578964,0.2034267682481762,0.967318844282238
UNH,0.2097583996100708,0.217230581415203,0.965602532772077
AWK,0.1602477953099515,0.1683289712837311,0.9519917699719193
ADC,0.1816842465890304,0.191160240729154,0.9504290531128294
ANSS,0.2109332836060465,0.2241709119541969,0.940948501155872
MPWR,0.2648481737010383,0.2893737443649543,0.9152460403146156
CIM,0.1434227572159881,0.1600920166225929,0.8958770102452919
LRCX,0.2867916656841769,0.3242035568110524,0.8846036993089521
OGS,0.1627741317765546,0.1850618577874091,0.8795660744070903
AJG,0.1390106764718968,0.158969588880033,0.8744482353590391
ACN,0.1678250168357327,0.1926248373956457,0.8712532563546057
EGP,0.155822890549292,0.1791657584527975,0.8697135652198001
AMT,0.1644050094831717,0.191064900286428,0.8604668321429519
DHR,0.2479471235624744,0.2903768803290903,0.8538803891049133
TMO,0.1731748127636109,0.2092999296410375,0.8274002435672889
PDI,0.0969202013552591,0.1172060725364837,0.8269213297381836
AON,0.1413231157373674,0.1727749307394023,0.8179607720435215
PSB,0.1472057173284671,0.1805176242737434,0.8154645172220913
ATO,0.1334640217895308,0.1643206819344034,0.8122168202953874
BST,0.179673544180514,0.2214722759174632,0.8112687849357432
NOC,0.1630862160302225,0.2015585348702913,0.8091258260791244
CINF,0.145538533287696,0.1799759833583065,0.8086553026241815
MCO,0.1753425673612536,0.2168349253035509,0.8086454113228693
LMT,0.1402358328787393,0.1749738178084708,0.8014675260286299
CCB,2.7762441652788614,3.479438402384868,0.7979000758789048
JPM,0.1667210355762437,0.2092479452089891,0.7967630717220612
IEX,0.1477881381064243,0.1889559808817166,0.7821299829558573
PFN,0.0774517308642567,0.0990430200839859,0.7820009002005363
MMC,0.1250591044618383,0.1599837700038812,0.7816986964290464
PLD,0.1544502328813193,0.1987909394425192,0.7769480506226941
FR,0.1418926943404553,0.1837137475085286,0.7723575195910051
HD,0.1440002806240277,0.1877679941550552,0.7669053571777258
TXN,0.1889649848794202,0.2479083876221434,0.7622371582176418
AWR,0.1679972680583751,0.2212022246016651,0.7594736823325352
CHTR,0.2081464262545762,0.2743213661859833,0.7587685536439694
