Company Symbol,Mean Excess Return,Volatility,Sharpe Ratio
PBC,10939.739698921843,2090.7885526477003,5.232351059636398
LBC,4230.746474898576,813.4826812350037,5.200782478215259
SBT,386.69944268072487,89.44496652293348,4.323322571556624
IFS,816.5282220531861,189.937218635196,4.29893744849163
EMP,1035.897639627468,251.64918169676884,4.116435557798473
DTP,328431.7573667371,86323.86278247829,3.8046462099863434
SAF,31392.98765823341,8363.644735686566,3.75350563663754
MEC,1611887.5752967235,444443.5719245892,3.626754164351419
NEW,11040.22168918294,3132.761676206568,3.524117960531056
PAE,7670.065482482892,2221.072454849557,3.4533161967480344
SG,186.85045472501676,55.94272425390695,3.3400313841878626
SBE,398.4588737710599,122.0751156611019,3.264046661870378
CFB,1188.1887208580818,387.1824507810785,3.068808305906173
CIH,172.33920295626675,58.74051625128863,2.933906849218168
NET,1314014.3542155204,491301.9821617621,2.67455536904974
VRT,104.35397248658732,42.61175253444967,2.448948148805236
FIV,91994.7529013212,40443.25837094355,2.2746622454983703
VST,4567.800309939315,2141.6254590923504,2.132866085685781
HMI,60347.402973542594,28362.98566276882,2.127681609089507
PIC,3056.6440807933664,1439.790888241559,2.122977791953176
PJT,78559.88492964997,37335.88788369175,2.104138655397152
AGE,112.35219836363518,53.53531558474148,2.0986557590342767
EIC,364.6905047831612,176.10743126342763,2.070841089253323
STG,28145.832109027488,13832.231132265968,2.0348005928973154
MTA,3085.7645527003574,1791.91876363938,1.7220448913840167
CWST,0.4932500650435743,0.3190855364244307,1.5458239523194153
NEXT,133.1166351973159,86.26194644507952,1.543167534273846
CTZ,222.8775869011791,145.8959457482148,1.5276475693561635
MSCI,0.333774113880301,0.2279226966929987,1.4644180624533378
ERI,0.5702622367834298,0.3925208826759582,1.452820122322522
CPRT,0.3025229011826331,0.2218637222129084,1.3635528069448026
PEN,62.485956326401286,45.92138986504956,1.360715703728273
MASI,0.3518591882562744,0.2711391048538715,1.2977072726042462
INS,0.8097848788591845,0.6245724928015606,1.296542656284528
FIVN,0.5981741687568409,0.4625890189105885,1.2931006666901856
NVDA,0.5452560305810923,0.4256809361007521,1.280903099809099
RNG,0.525685415927142,0.4140345308410222,1.2696656360022072
ELS,0.2160774307346561,0.171308168180714,1.2613375826114417
TAL,0.5024630615182093,0.3984051825941541,1.2611860574867484
KTB,339.8574403113249,270.8971669757061,1.254562548975653
WCN,0.208486264394469,0.16674125869974,1.250357985901387
MKTX,0.3333278586143371,0.2674274864363498,1.2464233316333857
PTI,14828.527923123134,12070.789872509553,1.2284637608425406
PAYC,0.5011820657385738,0.4090508617401655,1.2252316584946623
FICO,0.3202732674583862,0.2627406876014967,1.2189709571901182
AMZN,0.3553044423786222,0.2914848716306624,1.2189464255586648
CHE,0.2720665324758702,0.2237138714367922,1.2161361775581248
ZYXI,1.1930474717910502,0.9835037315593504,1.213058408939097
GLPG,0.5360858983735624,0.4421719018791626,1.2123925018647266
CHDN,0.2834074292376031,0.2344255832708665,1.2089441147306037
