Company Symbol,Mean Excess Return,Volatility,Sharpe Ratio
ELS,0.2160774307346561,0.171308168180714,1.2613375826114417
REXR,0.2115477953030189,0.1838484327528912,1.1506641211750668
ADBE,0.2933992366310685,0.2618716403798775,1.120393320198615
MA,0.2353544373801752,0.215179328767381,1.0937595108617726
MSFT,0.2497967360483485,0.2323170476106867,1.0752406619205754
RSG,0.1510021552380307,0.1415519722608935,1.0667612243488889
SUI,0.1856934463199841,0.1747856781963014,1.0624065325960643
BRO,0.166200408454348,0.1598595926765538,1.039664906382088
PCI,0.107369929807622,0.1033951328213553,1.038442786210588
TRNO,0.1939346722939454,0.1868841430412166,1.0377267388125802
