Generation,Mean Fitness,Std Fitness
0,0.335077435186163,0.007352875698918578
1,0.3903834988589614,0.03292549563239532
2,0.42616706350178635,0.03178654908589385
3,0.45922059390383463,0.03808741649120088
4,0.5032998742857591,0.04394292158409353
5,0.5263933045648727,0.04722810810320127
6,0.5640654926363796,0.058503159656182226
7,0.5956183719161354,0.05903839211198123
8,0.6236001368903318,0.06314935097860631
9,0.6561500689758201,0.05816779853798846
10,0.6761584550347085,0.05254444345624862
11,0.702222471452469,0.06126280965338641
12,0.7171838787104755,0.06060307190794676
13,0.7338337705317851,0.06146222069979104
14,0.7454115832741779,0.05393774817654505
15,0.7606821987559286,0.054707185440143344
16,0.779347291443371,0.04678871246770525
17,0.7935799442935738,0.046367351418969124
18,0.8046339828932684,0.04095127268615284
19,0.8156115699840176,0.03750060026999498
20,0.8285433682057886,0.03263366496009021
21,0.8358325707146628,0.029946431048375088
22,0.8415619446113974,0.02582615844365866
23,0.8476516876198326,0.024405192681380222
24,0.8515518963305309,0.022890645276510184
25,0.8555754789165607,0.025296509602655958
26,0.8598267897422132,0.025276507402341997
27,0.8625198625126134,0.023618816214047055
28,0.8658541532179974,0.02249135092845984
29,0.8693454426886152,0.023244398356592515
30,0.8718666472609328,0.02345860608942706
31,0.8759381086992043,0.024079243507966287
32,0.8783204732770477,0.02275219029560593
33,0.8788575607728517,0.022132824587694677
34,0.8794053086203715,0.022939124285931475
35,0.8810422806146787,0.023640086968477126
36,0.8839296611466456,0.02193284502647133
37,0.885384647371018,0.022712653901038844
38,0.8892537272533616,0.02586361057164766
39,0.8922226712811071,0.02790635557396075
40,0.893169100665569,0.027090040195339275
41,0.8947184033577255,0.026052689083996543
42,0.8951168228275046,0.02604991298225287
43,0.8966751413156994,0.025252501250270672
44,0.8983385058144681,0.02454252518076156
45,0.8983385058144681,0.02454252518076156
46,0.9002516175838583,0.023011541508211966
47,0.9014070606771135,0.02308660076219735
48,0.9021284997165567,0.02248036163902906
49,0.9036086572877361,0.02525034135887044
50,0.9070953057686173,0.02551156485682917
