algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,PSOussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
PSO,,1.0605012993521268,0.060330136283224256,1074.5689154832003,11.029558753967285,51.0,,,,,,200.0,50.0,0.4,1.0,1.0
PSO,,1.3099287965230644,0.029185004202150436,9352.938704587166,11.157192277908326,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,,1.3415529645320818,0.04048245866015445,390.2597680924008,10.55860457420349,51.0,,,,,,200.0,50.0,0.4,1.0,2.0
PSO,,1.0724462753163035,0.04407041352017254,80.09861425243432,10.832071208953858,51.0,,,,,,200.0,50.0,0.4,1.5,1.0
PSO,,0.9138476485948426,0.05553615022198965,1694.80333118526,10.401190614700317,51.0,,,,,,200.0,50.0,0.4,1.5,1.5
PSO,,1.0231265197370585,0.021981398311188977,132.36280831871687,10.510538148880006,51.0,,,,,,200.0,50.0,0.4,1.5,2.0
PSO,,0.8329097933871875,0.039775265685081,88.29054556320594,10.42331919670105,51.0,,,,,,200.0,50.0,0.4,2.0,1.5
PSO,,1.0217858123153856,0.03141484724683413,291.2549763789964,10.572628355026245,51.0,,,,,,200.0,50.0,0.4,2.0,1.0
PSO,,0.8339524051951612,0.034167975477391914,13.523634573555224,10.473389863967896,51.0,,,,,,200.0,50.0,0.4,2.0,2.0
PSO,,0.8430420937706803,0.07596422985966313,11.184568350190862,10.41082043647766,51.0,,,,,,200.0,50.0,0.7,1.0,1.0
PSO,,1.0605012993521268,0.060330136283224256,1074.5689154832003,10.803915405273438,51.0,,,,,,200.0,50.0,0.7,1.0,1.5
PSO,,1.3099287965230644,0.029185004202150436,9352.938704587166,10.700759887695312,51.0,,,,,,200.0,50.0,0.7,1.0,2.0
PSO,,1.3415529645320818,0.04048245866015445,390.2597680924008,11.06102614402771,51.0,,,,,,200.0,50.0,0.7,1.5,1.0
PSO,,1.0724462753163035,0.04407041352017254,80.09861425243432,10.722254037857056,51.0,,,,,,200.0,50.0,0.7,1.5,1.5
PSO,,0.9138476485948426,0.05553615022198965,1694.80333118526,10.814748811721802,51.0,,,,,,200.0,50.0,0.7,1.5,2.0
PSO,,1.0231265197370585,0.021981398311188977,132.36280831871687,10.80131492614746,51.0,,,,,,200.0,50.0,0.7,2.0,1.0
PSO,,0.8329097933871875,0.039775265685081,88.29054556320594,11.022098827362061,51.0,,,,,,200.0,50.0,0.7,2.0,1.5
PSO,,1.0217858123153856,0.03141484724683413,291.2549763789964,11.30801763534546,51.0,,,,,,200.0,50.0,0.7,2.0,2.0
PSO,,0.8339524051951612,0.034167975477391914,13.523634573555224,10.524931573867798,51.0,,,,,,200.0,50.0,0.9,1.0,1.0
PSO,,0.8430420937706803,0.07596422985966313,11.184568350190862,10.643079566955567,51.0,,,,,,200.0,50.0,0.9,1.0,1.5
PSO,,1.0605012993521268,0.060330136283224256,1074.5689154832003,10.893791818618775,51.0,,,,,,200.0,50.0,0.9,1.0,2.0
PSO,,1.3099287965230644,0.029185004202150436,9352.938704587166,10.915074968338013,51.0,,,,,,200.0,50.0,0.9,1.5,1.0
PSO,,1.3415529645320818,0.04048245866015445,390.2597680924008,10.536236238479614,51.0,,,,,,200.0,50.0,0.9,1.5,1.5
PSO,,1.0724462753163035,0.04407041352017254,80.09861425243432,10.69616174697876,51.0,,,,,,200.0,50.0,0.9,1.5,2.0
PSO,,0.9138476485948426,0.05553615022198965,1694.80333118526,10.684465646743774,51.0,,,,,,200.0,50.0,0.9,2.0,1.0
PSO,,1.0231265197370585,0.021981398311188977,132.36280831871687,10.700430250167846,51.0,,,,,,200.0,50.0,0.9,2.0,1.5
PSO,,0.8329097933871875,0.039775265685081,88.29054556320594,10.86522879600525,51.0,,,,,,200.0,50.0,0.9,2.0,2.0
PSO,,1.131732701637404,0.024723866526776352,309.90895660942306,14.82801604270935,101.0,,,,,,200.0,100.0,0.4,1.0,1.0
PSO,,0.8961251367061875,0.021177184240483527,13.859354558928558,14.560431957244873,101.0,,,,,,200.0,100.0,0.4,1.0,1.5
PSO,,0.9336593249998029,0.02498681942852559,10.91145854414624,14.331214809417725,101.0,,,,,,200.0,100.0,0.4,1.0,2.0
PSO,,1.124464570940496,0.05176042944093615,1060.2333135726683,14.874756908416748,101.0,,,,,,200.0,100.0,0.4,1.5,1.0
