algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
GA,,0.48191570301557035,0.032213713441740205,0.5474979934236834,45.78046417236328,101.0,200.0,0.1,0.1,2.0,100.0,,,,,
GA,,1.1514096052653806,0.01937572169065162,837.0301514814389,34.261865091323855,51.0,200.0,0.01,0.01,2.0,50.0,,,,,
GA,,0.5120521636570281,0.007553155789652673,4.1756539032373166,45.4740930557251,101.0,200.0,0.1,0.1,5.0,100.0,,,,,
GA,,0.9295568828508246,0.026692493110948214,1044.5768325954587,33.53040828704834,51.0,200.0,0.01,0.01,5.0,50.0,,,,,
GA,,0.7860550338880193,0.00645068769744538,1358.8230542892265,46.328392362594606,101.0,200.0,0.01,0.01,1.0,100.0,,,,,
GA,,0.6865741476315794,0.00775924209246637,64.54028800303483,33.366667890548705,51.0,200.0,0.01,0.05,1.0,50.0,,,,,
GA,,1.071582782562467,0.010902928681670218,154800.4922290169,44.249685764312744,101.0,200.0,0.01,0.01,2.0,100.0,,,,,
GA,,0.9908681603678948,0.007648277066469646,153427.7307523185,46.041002941131595,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,,0.8506826231292635,0.014162884029957374,273.1498887526436,34.26631345748901,51.0,200.0,0.01,0.05,2.0,50.0,,,,,
GA,,1.0862259303371207,0.02152561845405445,1037.9876314265312,34.62143602371216,51.0,200.0,0.01,0.05,5.0,50.0,,,,,
GA,,0.897469035590332,0.007637269370891681,248.49159670165895,46.3996750831604,101.0,200.0,0.01,0.05,1.0,100.0,,,,,
GA,,1.0914433536700485,0.02083364273241282,761.2159382107606,34.019563388824466,51.0,200.0,0.01,0.1,1.0,50.0,,,,,
GA,,1.1610210962253678,0.023567927525802657,9743.656370771623,46.01182737350464,101.0,200.0,0.01,0.05,2.0,100.0,,,,,
GA,,0.8125080398238603,0.013756890258893447,1.1784858897810564,45.87833619117737,101.0,200.0,0.01,0.05,5.0,100.0,,,,,
GA,,0.90861766228912,0.016657402621195805,1031.8303422324257,34.29059853553772,51.0,200.0,0.01,0.1,2.0,50.0,,,,,
GA,,0.7193758287201222,0.01235705119669046,3.747136626015883,45.33664393424988,101.0,200.0,0.01,0.1,1.0,100.0,,,,,
GA,,0.7117504633285494,0.008471539379014778,40.7865238258982,34.52971549034119,51.0,200.0,0.01,0.1,5.0,50.0,,,,,
GA,,0.7356313727596673,0.009546351399988521,1162.7890104949126,45.70479817390442,101.0,200.0,0.01,0.1,2.0,100.0,,,,,
GA,,0.7508024419399427,0.028062578054595246,145174.24877024165,34.77762403488159,51.0,200.0,0.05,0.01,1.0,50.0,,,,,
GA,,0.9381394438434499,0.016447259359456883,646.5263514058439,34.328647184371945,51.0,200.0,0.05,0.01,2.0,50.0,,,,,
GA,,1.0454542556930808,0.017835784029633806,147911.0567299594,47.346780920028685,101.0,200.0,0.01,0.1,5.0,100.0,,,,,
GA,,0.794455290118284,0.01632039652039509,279.9902537519401,46.064225625991824,101.0,200.0,0.05,0.01,1.0,100.0,,,,,
GA,,1.0936299408420052,0.024714535415274894,812.1688178115597,34.67642426490784,51.0,200.0,0.05,0.01,5.0,50.0,,,,,
GA,,0.5228805781215596,0.012131812039681056,0.6577830122899935,33.434595823287964,51.0,200.0,0.05,0.05,1.0,50.0,,,,,
GA,,0.8241398604525498,0.026777895612793756,257.4884573571844,46.86667022705078,101.0,200.0,0.05,0.01,2.0,100.0,,,,,
GA,,1.0808695674453916,0.016836959369210952,9548.183687609857,46.101425075531004,101.0,200.0,0.05,0.01,5.0,100.0,,,,,
GA,,0.5850627722362022,0.01490317940175966,18.193049989982594,35.36288604736328,51.0,200.0,0.05,0.05,2.0,50.0,,,,,
GA,,0.7514329879716484,0.0171401608799034,994.0938866797953,46.58883271217346,101.0,200.0,0.05,0.05,1.0,100.0,,,,,
GA,,0.6152563496869325,0.011042899354147836,883.6926244565955,34.19435248374939,51.0,200.0,0.05,0.05,5.0,50.0,,,,,
GA,,0.5797715303127944,0.012011624416162903,30.181213863871886,46.52656712532043,101.0,200.0,0.05,0.05,2.0,100.0,,,,,
GA,,0.8251974120992186,0.03377344570918913,438.3204163694052,34.445428133010864,51.0,200.0,0.05,0.1,1.0,50.0,,,,,
GA,,0.7499295484799152,0.020034560196961534,150665.8738839919,45.54891004562378,101.0,200.0,0.05,0.05,5.0,100.0,,,,,
GA,,0.6661894841502249,0.019158592164315418,204.9754437519331,33.33569622039795,51.0,200.0,0.05,0.1,2.0,50.0,,,,,
GA,,0.5548143144930402,0.022782832217855594,0.2854501866661103,33.40458002090454,51.0,200.0,0.05,0.1,5.0,50.0,,,,,
GA,,0.7654996474161246,0.010325000123322272,125795.69103531975,46.107517337799074,101.0,200.0,0.05,0.1,1.0,100.0,,,,,
GA,,0.953157985516947,0.028713794625915143,646.1754498463622,45.54953932762146,101.0,200.0,0.05,0.1,2.0,100.0,,,,,
GA,,0.8480971827679916,0.025756561028891577,7594.326067337778,34.40328526496887,51.0,200.0,0.1,0.01,1.0,50.0,,,,,
GA,,0.71751922621411,0.017929786724249726,202.00594049227797,45.86068086624145,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,,0.7426287616177559,0.012961211883901426,1027.2147575589702,34.218552875518796,51.0,200.0,0.1,0.01,2.0,50.0,,,,,
GA,,0.5960782639576108,0.00655869631820229,52.91839469443572,34.70609264373779,51.0,200.0,0.1,0.01,5.0,50.0,,,,,
GA,,0.5784480451815701,0.011852348472530553,12.208503922683278,46.81374855041504,101.0,200.0,0.1,0.01,1.0,100.0,,,,,
GA,,0.5850261072783013,0.010426263178638283,1281.1273983399162,46.653516101837155,101.0,200.0,0.1,0.01,2.0,100.0,,,,,
GA,,0.5969370543815767,0.02265949060445194,135044.8843021504,34.55481014251709,51.0,200.0,0.1,0.05,1.0,50.0,,,,,
GA,,0.4806056662871373,0.022952283216304593,0.47589919320447766,34.867855072021484,51.0,200.0,0.1,0.05,2.0,50.0,,,,,
GA,,0.9496864025021908,0.006422260423155525,595.1175832598335,48.42000551223755,101.0,200.0,0.1,0.01,5.0,100.0,,,,,
GA,,0.6120781402611879,0.013121381013569808,167.80289766177594,49.216777324676514,101.0,200.0,0.1,0.05,1.0,100.0,,,,,
GA,,0.9027805177901789,0.05522086070707429,599.3835262811876,37.17681918144226,51.0,200.0,0.1,0.05,5.0,50.0,,,,,
GA,,0.7019327728265907,0.02766626547593034,132652.09133794115,48.1113157749176,101.0,200.0,0.1,0.05,2.0,100.0,,,,,
GA,,0.5723083171787515,0.011135305129661835,104.72328458903294,37.55763325691223,51.0,200.0,0.1,0.1,1.0,50.0,,,,,
GA,,0.8010826556828905,0.027788309258425552,6311.813767244355,49.33328595161438,101.0,200.0,0.1,0.05,5.0,100.0,,,,,
GA,,0.513761691594029,0.01423360787882311,21.086845119644224,38.81322374343872,51.0,200.0,0.1,0.1,2.0,50.0,,,,,
GA,,0.540850020823006,0.01531227153318622,347.8350008851533,37.11350793838501,51.0,200.0,0.1,0.1,5.0,50.0,,,,,
GA,,0.6909752668030101,0.040800797455863055,822.362471937907,51.074630212783816,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,,0.5183382221543233,0.007216574665475454,5.50257513479467,48.97006425857544,101.0,200.0,0.1,0.1,2.0,100.0,,,,,
GA,,0.6362812218504794,0.009334245922030662,120261.22277437107,48.110973834991455,101.0,200.0,0.1,0.1,5.0,100.0,,,,,
