Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.002163688944857609,3.579035927112501e-05
2,0.002198935335009085,8.058940862708541e-05
3,0.0019106662044043455,9.605648523680163e-05
4,0.0017789104111598116,0.00015659600501029817
5,0.0016169701738097946,0.00014631935711120539
6,0.0014833205952527156,0.00013568088467503237
7,0.0014122536752514394,0.00019724118837907383
8,0.0013662252633529028,0.0002596298134968114
9,0.001436266760524602,0.0003970567391022827
10,0.0015789054611648472,0.0005079579797899326
11,0.0017038908791385996,0.0006128165004601185
12,0.0018265694516606474,0.0007020378873876462
13,0.002018073110262727,0.0007983294256730116
14,0.002244355903035335,0.0008980417168278466
15,0.0025332808774466377,0.0009623810350783293
16,0.0028415986515313682,0.0010444082051639
17,0.0031169604872004026,0.001151686915228135
18,0.0034458102508918152,0.0012657847214668347
19,0.003862341497554409,0.0014216934077769256
20,0.004311388615319359,0.0015845592090575563
21,0.004800262536814578,0.0017747025415166381
22,0.005326762522304347,0.001927094215528148
23,0.0056955963586405875,0.0019456352147497788
24,0.0061300558099545545,0.0020132840327219143
25,0.006519286489177108,0.002006450883982424
26,0.006940445245566545,0.0020873475747633977
27,0.007318266197204267,0.0021587213862211013
28,0.007646454386290883,0.0021734102445187683
29,0.007960805128038553,0.002170843009154638
30,0.008278128249073074,0.0021706298676430723
31,0.008636405463895309,0.0022532248407466536
32,0.008932396599175335,0.0022599572368776732
33,0.009142288090237299,0.0022858785873121944
34,0.009482378444495208,0.0023628506014300673
35,0.009737734132669327,0.0024203152031881284
36,0.009945560832234576,0.0023990868922061366
37,0.010112886637789063,0.002330107967329885
38,0.010321827242311826,0.002259854772901782
39,0.010546521355726939,0.0022750992940711525
40,0.01071408644161859,0.002342006971170266
41,0.010981973731045171,0.00241354326757002
42,0.011151544306225883,0.002506685790457686
43,0.011281287808651478,0.0024979280506915017
44,0.011378798626422892,0.002538633276198613
45,0.01144370959848111,0.0025754691497677203
46,0.011625321265559077,0.0027061762507435447
47,0.01178161392001965,0.002790229529594371
48,0.011805629398119558,0.002745001370956
49,0.012009243607295224,0.0030487781012529516
50,0.012143679981744765,0.002960144307569866
51,0.012209567419413456,0.0028937317391053855
52,0.012299274772831341,0.002853732909156946
53,0.012354405850841391,0.002766658234004698
54,0.012461717503310411,0.0028737192891395333
55,0.01247544668143997,0.002897217334537709
56,0.012589943253348515,0.0029249843203366386
57,0.012694316838215237,0.002924730396535349
58,0.012698610586759192,0.0029402160136693593
59,0.01275181267938008,0.003020093092595408
60,0.012846837314988615,0.003026947675066724
61,0.012900565121537408,0.002956349886062077
62,0.01292635285585192,0.0029306339366484612
63,0.013025741958718324,0.0029167843407858275
64,0.013128571628552932,0.002876251176614868
65,0.013291168383039561,0.003023265157463417
66,0.01345294272053152,0.003116993802284328
67,0.013465866972676729,0.003108267251293692
68,0.013480326262717246,0.003053768676387021
69,0.013598899277780411,0.003170631584513206
70,0.013643676050262708,0.003164854853215209
71,0.013703920512667287,0.0031452396455347027
72,0.013709610663321619,0.003184211748530665
73,0.013681991834893239,0.0031384704315457522
74,0.013662369790536982,0.0030955428900634233
75,0.013721089784310225,0.0032091282999372112
76,0.013713658601577907,0.0032683725525126076
77,0.01373321481923235,0.003195798437722128
78,0.013745694345616864,0.003202688056984331
79,0.013880552266127087,0.003307722665387891
80,0.013877018803748194,0.0032955793686237573
81,0.013873351000147808,0.0032812043129078665
82,0.014078044672933608,0.0033247859056267258
83,0.014151519722754935,0.003354265914811611
84,0.014110982525825095,0.0032509930549502975
85,0.014193028754036352,0.0033070371301405117
86,0.014263274246688454,0.0034262472600757425
87,0.014371601507932444,0.0033687959446417042
88,0.014401088251696224,0.003415441698515617
89,0.01436748347753274,0.003458831148498182
90,0.014329875340901016,0.0034121271732544195
91,0.014411282838293892,0.00341668747104775
92,0.014419207282369048,0.00344987937126416
93,0.014476950496483808,0.0034801706630580107
94,0.014475251273394657,0.0034647079972299215
95,0.014533166865289032,0.003507212506055044
96,0.014528598514273914,0.0035213462492330767
97,0.014638074062084663,0.0034526503547433075
98,0.014596295225137682,0.0035025604613287157
99,0.014606790227312337,0.0035270289293772563
100,0.014647535334347159,0.003552170902585068
