Generation,Mean Fitness,Std Fitness
0,0.30882256081641324,0.004181701266364175
1,0.4029717993740021,0.026637319267194853
2,0.42798061302074375,0.017743563546896348
3,0.4494352384270965,0.023029811832812316
4,0.4675518212564013,0.023631190890444242
5,0.48276362234384146,0.02130033218749922
6,0.4955090295368683,0.0187510710788092
7,0.5000240369142037,0.02113202064378097
8,0.504024568599569,0.020272112160496285
9,0.5074567870232186,0.02006510364950356
10,0.510982746341334,0.019518983934955506
11,0.5150831504144037,0.01998792973911026
12,0.5161854899046707,0.020489854602898816
13,0.5204042350880592,0.018374392775940215
14,0.5225491896622475,0.01811491557438591
15,0.5269228497132467,0.01778359315398955
16,0.5296080450403468,0.016218580450429003
17,0.5329123898190803,0.018039243634462823
18,0.5348205293283445,0.01807091077234449
19,0.5353855395203257,0.018445517544174315
20,0.5353855395203257,0.018445517544174315
21,0.5363750776330216,0.018379032099871698
22,0.5391472714396444,0.020688139959597326
23,0.5397984534686531,0.02093590003959858
24,0.5426568458838141,0.022675657287575295
25,0.5434410050087706,0.021812582492563383
26,0.5449088270323921,0.02229030222856124
27,0.545326634143538,0.02232733883802176
28,0.546587322490838,0.021203267646888235
29,0.5482365975572903,0.020335008101454655
30,0.5495537004470941,0.02134352670217031
31,0.5508653981240516,0.020600511790469154
32,0.5535406373905721,0.02122838869888884
33,0.553781447919411,0.020941417080578107
34,0.5541743221810607,0.020727049630104997
35,0.5541743221810607,0.020727049630104997
36,0.5557605493255579,0.020931222793688357
37,0.5557605493255579,0.020931222793688357
38,0.5566400691523689,0.02084085165200386
39,0.5571002094233998,0.020272594489230536
40,0.5572746631724863,0.02000463578946805
41,0.558378425097827,0.019010431675258503
42,0.5619066527425083,0.017801880258956463
43,0.5619066527425083,0.017801880258956463
44,0.5619066527425083,0.017801880258956463
45,0.5632940164275716,0.016281079376336136
46,0.5634968962214418,0.016287186537138825
47,0.5634968962214418,0.016287186537138825
48,0.5634968962214418,0.016287186537138825
49,0.5639239926046655,0.016736822436874323
50,0.5645583888960716,0.01580474944329956
