Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.00785498368095157,8.499922036539495e-05
2,0.009432352983605959,9.931477042095936e-05
3,0.010105416262511921,7.902417365581077e-05
4,0.010360386198184782,7.27638445539214e-05
5,0.010458429611640981,8.201017599235946e-05
6,0.010477657867517719,8.189439552974654e-05
7,0.010436186380682453,7.351407270127115e-05
8,0.010442210930499405,6.14608536079017e-05
9,0.01042904307013269,8.101010042213266e-05
10,0.010431632010735114,6.704976533426288e-05
11,0.010431085142618616,8.143873537238893e-05
12,0.010428387057703069,7.265204425970478e-05
13,0.010424512943500023,8.211081539718182e-05
14,0.01041844495805652,7.9749276879532e-05
15,0.010405112576277804,8.31352274912201e-05
16,0.01039679096084152,7.195045719547148e-05
17,0.010391907682699491,8.048862431958006e-05
18,0.01042419142427168,5.777597845022434e-05
19,0.010419859344695186,7.434615475739003e-05
20,0.010430693298981372,5.543771529749837e-05
21,0.010424962779909307,7.570536198581671e-05
22,0.010416863350863916,6.243962744967572e-05
23,0.010439463803939994,8.520140152623942e-05
24,0.010421150558885942,7.637095384415739e-05
25,0.010441643788941206,7.276637408624008e-05
26,0.010414850369981998,6.190468084950912e-05
27,0.010422795797288519,7.515186465032562e-05
28,0.010419188998931109,8.312467301412837e-05
29,0.01043456234752921,8.460387828555773e-05
30,0.010447436244926644,8.191339858555101e-05
31,0.010440161998460375,8.812745098504452e-05
32,0.010417483895827332,7.207466622018353e-05
33,0.01039933603112196,6.759907350414854e-05
34,0.010403719076761336,8.28894793810526e-05
35,0.010380220325812987,6.827982680285496e-05
36,0.010403227726239314,7.677327911427292e-05
37,0.010408123370834499,7.341685533697051e-05
38,0.010420389998867224,7.58060307656223e-05
39,0.010420089547121694,9.247465762054471e-05
40,0.010408546420884386,7.053426095664959e-05
41,0.010384133467537535,5.514332364278783e-05
42,0.010402851347761862,6.641132859098652e-05
43,0.010424035139771129,6.452262672929481e-05
44,0.010426784732656888,7.404365026990461e-05
45,0.01038810072210077,7.345773296201661e-05
46,0.010416541197024976,8.631524218369576e-05
47,0.010424865263604687,7.345396831221993e-05
48,0.010419559219795744,7.671354360330077e-05
49,0.010412178971700879,7.159636542225095e-05
50,0.010420979905780444,7.453813536384468e-05
