algorithm,quality,run_id,sharpe_ratio,annual_return,runtime,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
PSO,median,1,1.129846479010043,440.4968466909674,60.00989007949829,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,2,1.239004403588451,438.84777291809667,25.068524599075317,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,3,1.0317139179596897,449.94756987180887,25.144895553588867,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,4,1.020361959614175,414.71971865501837,26.41373562812805,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,5,1.1965323453645018,427.5224763295101,25.644196033477783,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,6,1.1916951855404334,493.512000414042,24.1511070728302,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,7,1.2548930388130524,444.63547880946453,24.920828580856323,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,8,1.1036808826521094,425.34029746414046,25.889928340911865,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,9,1.1302683276876289,416.573237051637,25.285907745361328,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,10,1.0708564935567346,419.27935859734123,24.795658588409424,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,11,1.21091011603422,432.84794904783075,24.75824284553528,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,12,1.1866957857593703,444.4592465350436,25.213601112365723,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,13,1.2256948825147254,438.0602125319143,24.939967393875122,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,14,1.134078133945738,429.1111344470109,25.160085916519165,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,15,1.1656019291330941,449.26221169767365,26.382384061813354,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,16,1.0150152927515792,422.2916360998331,25.42605471611023,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,17,1.1873204631057672,433.67122926771395,25.68732786178589,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,18,1.2492995166620617,428.49684624314915,25.948395252227783,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,19,1.243970876828628,441.4811285523506,25.96185803413391,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,20,1.170115590248264,437.21422175260085,25.80706262588501,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,21,1.1593594296929428,431.2837325606538,26.598150730133057,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,22,1.2160763309763534,432.74397009068304,25.938124895095825,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,23,1.1542199674623266,430.297937398733,26.5518856048584,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,24,1.088052502454937,413.47435146257743,26.088634967803955,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,25,1.2028021659633832,442.6902705242955,26.141959190368652,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,26,1.194567417621296,439.76235551727933,27.5324068069458,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,27,1.1619694819464614,431.3600101848179,26.174789428710938,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,28,1.1459386654393444,435.29340126202646,26.068452835083008,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,29,1.1342105156851554,441.5324006838225,26.685519456863403,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,30,1.171104105844798,446.63992550176897,26.87002658843994,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,median,31,1.1803483939796005,446.52001707362075,25.768171310424805,normalize,1.051494018295743,0.0369432029469037,2811.270025084385,44.15565266609192,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
GA,best,1,0.8537789379536662,0.3267280448470262,63.64227819442749,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,2,0.8378896356160366,1.279783885925616,28.897989511489868,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,3,0.8595816026973682,0.5478105601196797,29.715473651885986,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,4,0.8678600915748058,1.6882478140260238,29.919920921325684,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,5,0.854960787894735,0.3971701083751902,28.772886037826538,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,6,0.859102161272178,0.4868527667843321,28.413593769073486,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,7,0.8598764390013007,3.0259084061239703,29.147550344467163,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,8,0.8400968545213368,0.7036250041875646,28.980174779891968,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,9,0.8438552576202604,0.5016842388959638,28.44217848777771,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,10,0.8511461721560093,1.1296627167310425,28.197479248046875,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,11,0.8527977002647897,0.43046569081253716,29.123800039291382,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,12,0.8613416331742394,0.47660262458012226,28.81189727783203,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,13,0.8333674196555569,1.0787691899221066,30.27636742591858,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,14,0.8412200252894477,0.5545524352662949,28.818328380584717,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,15,0.8417785136310096,0.7730723729113198,29.327255249023438,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,16,0.8506453041012727,0.9008766196482176,29.76215362548828,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,17,0.865475988419839,0.5961948635791725,30.450321435928345,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,18,0.8473972647454229,1.2361857919334915,30.437472581863403,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,19,0.8607832115583562,0.5897270423012044,30.163195610046387,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,20,0.8548617404815738,0.46070945103266964,30.014020204544067,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,21,0.8537039222843277,0.4312912523020975,29.921098470687866,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,22,0.8399600982078517,0.4131493893066296,29.81305432319641,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,23,0.8701303249919539,0.5469361367855362,30.386943817138672,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,24,0.8608878264781863,0.46534540844901806,30.268747091293335,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,25,0.8514006276172327,1.1973790148710322,31.118842124938965,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,26,0.8547715891186686,0.8987142986267956,30.437641620635986,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,27,0.8474985824721507,0.43765952180811984,29.902637481689453,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,28,0.857806023874933,0.48276167583097107,27.757164478302002,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,29,0.8690248184469401,2.7765360796236815,27.369471788406372,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,30,0.8808206542291926,1.3253832043078266,27.398375272750854,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,best,31,0.861225958791636,1.6249622851648784,27.44513463973999,normalize,1.236496243226267,0.0158008539522069,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,median,1,0.9792127098336394,1402.8434296287369,63.81427979469299,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,2,1.0182013438721713,1630.211614953566,28.873570919036865,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,3,0.9094832310105381,1635.0568376925448,29.83489727973938,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,4,1.0064567695836129,1474.2492106858067,30.289918899536133,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,5,1.0759740187881137,1799.707725742158,28.78989005088806,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,6,0.9658457216903348,1617.2299778072734,28.61559748649597,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,7,1.001556631575036,1864.186148343109,29.58955478668213,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,8,1.0207775728902022,1655.1424620756106,28.76363730430603,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,9,0.9708400462266729,1520.7663053512106,28.40470862388611,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,10,1.0229346341247831,1957.9223571581801,28.322112321853638,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,11,1.0977663321483095,2139.9346515363695,29.130444288253784,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,12,1.0100318116076077,1881.9118378518183,28.885624170303345,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,13,0.9217597295906316,1155.6786246300621,30.482369899749756,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,14,0.9513188201351808,1644.3144127875257,29.133907794952393,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,15,0.9871766252800804,1839.792888683363,30.061380624771118,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,16,1.0123820581367844,2009.220141623101,29.954843521118164,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
