Company,Weight,Percentage,Sharpe Ratio,Annual Return
"Varian Medical Systems, Inc. Common Stock",3.2369e-05,0.0032369,1.2556237624753923,423.02251299945505
"Piedmont Office Realty Trust, Inc. Class A Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
MIND C.T.I. Ltd. - Ordinary Shares,0.0,0.0,1.2556237624753923,423.02251299945505
"Oxford Lane Capital Corp. - Term Preferred Shares, 7.50% Series 2023",0.0,0.0,1.2556237624753923,423.02251299945505
"Bio-Path Holdings, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Diamondback Energy, Inc. - Commmon Stock",8.627e-06,0.0008627000000000001,1.2556237624753923,423.02251299945505
Eastman Chemical Company Common Stock,2.8e-08,2.8e-06,1.2556237624753923,423.02251299945505
Pareteum Corporation - Common Stock,3.212e-06,0.0003212,1.2556237624753923,423.02251299945505
"Stock Yards Bancorp, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"CIRCOR International, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,0.0,0.0,1.2556237624753923,423.02251299945505
"Cal-Maine Foods, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"RF Industries, Ltd. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Perrigo Company plc Ordinary Shares,1e-09,1.0000000000000001e-07,1.2556237624753923,423.02251299945505
Nuveen Tax-Advantaged Total Return Strategy Fund Common Share of Beneficial Interest,4.5368e-05,0.0045368000000000006,1.2556237624753923,423.02251299945505
"ING Group, N.V. Common Stock",3.482e-05,0.0034820000000000003,1.2556237624753923,423.02251299945505
"HireQuest, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Farmers National Banc Corp. - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Cavco Industries, Inc. - Common Stock",1.8641e-05,0.0018641,1.2556237624753923,423.02251299945505
"ServiceSource International, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Turtle Beach Corporation - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Landmark Infrastructure Partners LP - Common Units,0.0,0.0,1.2556237624753923,423.02251299945505
