Generation,Fitness
0,0.29529257094247857
1,0.3404325281398521
2,0.4083314057339054
3,0.4880733775041255
4,0.5835616352182839
5,0.6674795605827502
6,0.6738212053719058
7,0.6828911172166755
8,0.6871358879335668
9,0.7046494656365843
10,0.7283190534005705
11,0.7689904960960867
12,0.7481862341713288
13,0.7684878127837348
14,0.7571433196015138
15,0.7678981261025766
16,0.7789275421695933
17,0.7798817827577132
18,0.7850193079492613
19,0.7881879581115082
20,0.8063127148240196
21,0.8210971174179948
22,0.8415811206648137
23,0.8208240623855002
24,0.833898772482994
25,0.8437012143332762
26,0.858177486686494
27,0.8557489800926129
28,0.859092935666639
29,0.8767026271656302
30,0.868946313893456
31,0.8441710268714565
32,0.8736409395837178
33,0.8688139575457978
34,0.8690806771122582
35,0.8853805289576034
36,0.88319434631048
37,0.8823879979057947
38,0.8844070078457005
39,0.8964919399743232
40,0.8737227930804726
41,0.9032264745661965
42,0.8778548456491712
43,0.8867237066449151
44,0.8875564187579951
45,0.8819607161927102
46,0.8847918992952861
47,0.8818637265879956
48,0.9086711521659253
49,0.8853236422002928
50,0.9059276942989362
51,0.9129860810652343
52,0.8661760822428393
53,0.865208874697258
54,0.930463567090902
55,0.9383834468709065
56,0.9479337004888597
57,0.945508115658011
58,0.969702484223501
59,0.9587227732387578
60,0.9365142383612072
61,0.9501125575587771
62,0.9631301077254469
63,0.9678748720177616
64,0.9831972849910229
65,0.9697247275466992
66,0.9809476863287157
67,0.9679884679096841
68,0.9779655994848836
69,0.9849643392509129
70,0.9545861578413213
71,0.9774545639197342
72,0.9803636869884014
73,0.9836195986458881
74,0.9544948208318877
75,0.9804504084171242
76,0.9725346913162296
77,0.9835556952394495
78,0.9869478675873716
79,0.9886643260645084
80,0.9895277182306031
81,0.9707653918723327
82,0.989385741129594
83,0.9893836477357194
84,0.9895943930332749
85,0.9814034622614244
86,0.9894425029021462
87,0.9896568602102338
88,0.9671179039572646
89,0.9896083219763644
90,0.9921034076831359
91,0.9850512275370678
92,0.9836089906765961
93,0.9886130360012441
94,1.0037288262094515
95,1.0019519478514536
96,1.0003709217069974
97,0.9623556834342104
98,1.0167391293304726
99,1.0072894037975528
100,0.9817092116372407
