Generation,Fitness
0,0.2695078721872084
1,0.30633679181506157
2,0.3672664911147845
3,0.42609544278414274
4,0.5037697700099112
5,0.6026877007471962
6,0.6962654663608858
7,0.8047411042017333
8,0.8174620911760122
9,0.8307419877449496
10,0.8377645662097768
11,0.8721391081935088
12,0.8853033789084068
13,0.8971101979654494
14,0.9380249944133461
15,0.951039575905538
16,0.9526221526147827
17,0.9598140545170222
18,0.9786228221234368
19,0.9780371460898969
20,0.9768044600204089
21,0.9910851390779836
22,0.9949077940199516
23,1.0029757302669569
24,1.0224404216753835
25,1.015962552358792
26,1.0134012496501972
27,1.0200838144733073
28,1.0322081832049066
29,1.0466268077873377
30,1.0528771406026571
31,1.0523082587399073
32,1.0204081481342957
33,1.030739612904213
34,1.0364986865911998
35,1.0436805392396953
36,1.049834751365099
37,1.0542615380258282
38,1.0344338011909604
39,1.0660281823463915
40,1.091955480966055
41,1.0576574712534403
42,1.078485451827538
43,1.0595112388439656
44,1.0742729433926679
45,1.072555672293439
46,1.0706541105728085
47,1.0831051821756825
48,1.0605177520553366
49,1.0891198742908097
50,1.0779114782202766
51,1.0815347762029046
52,1.087785218920947
53,1.0865463627164076
54,1.0756609739123097
55,1.1080111580045413
56,1.1125399410654149
57,1.08473705508391
58,1.0915336964724616
59,1.0932914657739592
60,1.1114517135522508
61,1.11519061182342
62,1.1140602944608191
63,1.1099719228240317
64,1.1164551158456981
65,1.1230832940658249
66,1.1206230655198126
67,1.101644831226718
68,1.113278906643705
69,1.125300581243625
70,1.100071351871617
71,1.11816046145078
72,1.1029223573990277
73,1.119032492976427
74,1.1207793348256565
75,1.112002991133162
76,1.1221652240213014
77,1.1239137132947739
78,1.118100969720263
79,1.13291376113867
80,1.1271455447723326
81,1.1242617420135614
82,1.1298009030730771
83,1.1369221822325142
84,1.1317494491803144
85,1.127561594287583
86,1.1362594290835712
87,1.1333225134304992
88,1.1292913479327567
89,1.1331203513397838
90,1.1339728375011446
91,1.1340444792558586
