Generation,Diversity
0,0.005774344248100384
1,0.004400839293107126
2,0.004223382475459369
3,0.0035554747563847867
4,0.003264146552353856
5,0.002990807480976329
6,0.00313953815054263
7,0.004174409690856015
8,0.004910826298353829
9,0.005216220041560953
10,0.0057446268966410185
11,0.005787869658847516
12,0.006166782438079532
13,0.006331503556990331
14,0.006676799440419303
15,0.007180557358278416
16,0.007000983670487631
17,0.007241391436142346
18,0.00766259660180199
19,0.007153295884577664
20,0.007847769953461226
21,0.007954049176957512
22,0.00768146365189642
23,0.007943489851759524
24,0.008212227629861943
25,0.008099066616809352
26,0.008534476698193065
27,0.009944173899814703
28,0.009834320185338757
29,0.01001975489900413
30,0.009998931255822482
31,0.010411599031646705
32,0.010211006704132726
33,0.009923434287132632
34,0.010126312672708115
35,0.010429291189326588
36,0.010276614587257663
37,0.010219859377770884
38,0.00996893462995886
39,0.009707171564944855
40,0.009868212129105413
41,0.009861890334785656
42,0.009325246398654013
43,0.009337218586173649
44,0.009194932044828586
45,0.009166189718492278
46,0.009924782290292122
47,0.009670066321098115
48,0.010255956360581
49,0.010300313529382831
50,0.010293649145548183
