Generation,Fitness
0,0.31148369344218646
1,0.3922258332921006
2,0.4792290390959388
3,0.6006269718739905
4,0.6603562395044464
5,0.6749698355621159
6,0.6839962246610297
7,0.700291955711172
8,0.7362673039859741
9,0.7657161741017622
10,0.7853216563141546
11,0.8238625463982605
12,0.8333699970849909
13,0.8723870793709607
14,0.8736915819635416
15,0.8830528067398964
16,0.8859805387463321
17,0.8972887625824442
18,0.8735410569009605
19,0.8900113433108872
20,0.8953097674154145
21,0.8887165229407363
22,0.8931013888276551
23,0.9009838665085774
24,0.9066150772726659
25,0.9073507982857613
26,0.9076758229753833
27,0.9168290438918528
28,0.9098680710482704
29,0.9037979966030859
30,0.8930637278834128
31,0.9174226050786736
32,0.902249401187702
33,0.9235922150539839
34,0.9169448766763534
35,0.9357992152571597
36,0.9039227253722633
37,0.9322090541242959
38,0.9434633336531557
39,0.9472352591476716
40,0.9560070710498303
41,0.9571575409073624
42,0.9492630968936722
43,0.9262856077945277
44,0.9610740598753732
45,0.9603082537981171
46,0.9257739814277056
47,0.9418868419993266
48,0.9759812057039035
49,0.9767290318530778
50,0.9482487834566234
51,0.9639233020599512
52,0.9808139291537391
53,0.9876285886525265
54,0.9619237275466932
55,0.9594468248414271
56,0.9611906457549284
57,0.9682654566895887
58,0.993498047396519
59,0.9715419584222447
60,0.9936340690954396
61,0.9841197988255516
62,0.9821485997679427
63,0.9891792160390048
64,0.9945260452233408
65,0.9985134680176606
66,1.000518544734877
67,1.0048587653393404
68,0.9984116450563937
69,0.964934396156371
70,0.968260004025765
71,0.9836583252286754
72,0.9847705511230047
73,0.9826877767970341
74,0.9969251232598828
75,1.0017714220943141
76,0.9978552589701731
77,1.0043616589221933
78,0.9886135700092112
79,0.9836777592982199
80,0.9957511707973578
81,1.0071681240595631
82,1.0023301640005018
83,0.9994248285894585
84,1.0034054797977785
85,1.0075325309047187
86,0.9940326635247969
87,1.0062908743140075
88,1.0115801479460351
89,0.975556252813036
90,1.0129277672428276
91,1.0086514050721929
92,1.0044525213524056
93,1.0081754406207382
94,1.0185960988749065
95,1.0000686544556514
96,1.016616482329571
97,0.9969668770416888
98,1.0089959657306378
99,1.003764901723437
100,1.0188515577611585
