Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,0.0,0.0,1.0440445712815354,116.52537584088908
"Kirkland's, Inc. - Common Stock",0.000821399,0.0821399,1.0440445712815354,116.52537584088908
Stepan Company Common Stock,0.0,0.0,1.0440445712815354,116.52537584088908
"Watts Water Technologies, Inc. Class A Common Stock",0.0,0.0,1.0440445712815354,116.52537584088908
"Lifetime Brands, Inc. - Common Stock",0.000724628,0.0724628,1.0440445712815354,116.52537584088908
"Dave & Buster's Entertainment, Inc. - Common Stock",0.0,0.0,1.0440445712815354,116.52537584088908
"PolarityTE, Inc. - Common Stock",0.0,0.0,1.0440445712815354,116.52537584088908
Fluidigm Corporation - Common Stock,0.000171279,0.0171279,1.0440445712815354,116.52537584088908
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.002775228,0.27752279999999996,1.0440445712815354,116.52537584088908
"SPS Commerce, Inc. - Common Stock",0.002228058,0.22280580000000003,1.0440445712815354,116.52537584088908
"Lexicon Pharmaceuticals, Inc. - Common Stock",0.000743999,0.07439989999999999,1.0440445712815354,116.52537584088908
"Donegal Group, Inc. - Class B Common Stock",0.000104292,0.0104292,1.0440445712815354,116.52537584088908
"Shiloh Industries, Inc. - Common Stock",6.486e-06,0.0006486,1.0440445712815354,116.52537584088908
"DB Gold Double Long ETN due February 15, 2038",0.0,0.0,1.0440445712815354,116.52537584088908
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.062541915,6.2541915,1.0440445712815354,116.52537584088908
"OSI Systems, Inc. - Common Stock",0.0,0.0,1.0440445712815354,116.52537584088908
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.0,0.0,1.0440445712815354,116.52537584088908
Lincoln Educational Services Corporation - Common Stock,0.0,0.0,1.0440445712815354,116.52537584088908
"Aerie Pharmaceuticals, Inc. - Common Stock",0.000469355,0.046935500000000005,1.0440445712815354,116.52537584088908
"Independence Realty Trust, Inc. Common Stock",0.017751046,1.7751046,1.0440445712815354,116.52537584088908
"Blackstone Mortgage Trust, Inc. Common Stock",0.094662587,9.466258700000001,1.0440445712815354,116.52537584088908
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.099324888,9.9324888,1.0440445712815354,116.52537584088908
"ServiceMaster Global Holdings, Inc. Common Stock",0.032661178,3.2661178,1.0440445712815354,116.52537584088908
American Equity Investment Life Holding Company Common Stock,0.0,0.0,1.0440445712815354,116.52537584088908
"Manitex International, Inc. - common stock",0.0,0.0,1.0440445712815354,116.52537584088908
Primo Water Corporation Common Stock,0.076911489,7.6911489,1.0440445712815354,116.52537584088908
