Generation,Mean Fitness,Std Fitness
0,0.23828969822406318,0.008933174700563344
1,0.2671910512873029,0.009344529670883646
2,0.30239685197826344,0.011272499547622872
3,0.33513419265501126,0.013665093800493211
4,0.36493609110878616,0.01594050443112511
5,0.39198547009478435,0.017787066970571853
6,0.4176085009403596,0.020078311657878968
7,0.44266661567284504,0.022276664203523703
8,0.4654912388385173,0.024455302256977635
9,0.48554085015574494,0.024573978155187456
10,0.5053458430583717,0.02456450585433036
11,0.5234383352284888,0.024297324862318028
12,0.5428424175373547,0.024891891675235263
13,0.5608466568619523,0.025335872085422324
14,0.5761488674841172,0.024759313825857835
15,0.5905764228798245,0.026582674974280518
16,0.6046066877052438,0.0278381921790228
17,0.6184546791314128,0.027638788586206445
18,0.6308368816087017,0.02816415230772452
19,0.6413733541805605,0.029010626472015216
20,0.6500627688783445,0.029570586808044197
21,0.6593167254307511,0.028998963527816363
22,0.6679153615030086,0.029394481976907097
23,0.6751309731302533,0.02772351075981846
24,0.681902906897051,0.028228835497845373
25,0.6871795077980541,0.026724939957289567
26,0.6943878412113642,0.02942900695516511
27,0.6997748028777926,0.029203137126925554
28,0.7036905561532995,0.027894120265801493
29,0.707498750288395,0.02645235529141603
30,0.7132699971314609,0.026267493294330424
31,0.7184073862969277,0.025450703396109327
32,0.7234146351770417,0.026709908221905086
33,0.7288141192044362,0.027182649888545962
34,0.7307008143745398,0.03058533392191033
35,0.7362048058043462,0.029260994678641326
36,0.7392918130356481,0.02827260212660156
37,0.7183049527519811,0.13405160085068046
38,0.7466019043879142,0.02735133289718177
39,0.745124092711137,0.02920289998205822
40,0.7513961258356666,0.02673833084634371
41,0.7511264396901436,0.027684042679840495
42,0.7504645073519146,0.030583727289512176
43,0.7530979208846758,0.03916296674365844
44,0.7329035248933713,0.13743746539890875
45,0.7587719273000166,0.029991346259758498
46,0.7357828802709236,0.13859022465160134
47,0.7653854709680095,0.029571369451169036
48,0.7654459907609562,0.03470736708422804
49,0.7704516009642303,0.028557511322112043
50,0.7716565024794869,0.02783486260281283
