Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,0.000464887,0.0464887,0.860689024661836,109.68419359278423
"Kirkland's, Inc. - Common Stock",0.001577889,0.1577889,0.860689024661836,109.68419359278423
Stepan Company Common Stock,0.007450237,0.7450237000000001,0.860689024661836,109.68419359278423
"Watts Water Technologies, Inc. Class A Common Stock",0.006883416,0.6883416,0.860689024661836,109.68419359278423
"Lifetime Brands, Inc. - Common Stock",0.0,0.0,0.860689024661836,109.68419359278423
"Dave & Buster's Entertainment, Inc. - Common Stock",0.000102665,0.0102665,0.860689024661836,109.68419359278423
"PolarityTE, Inc. - Common Stock",0.006647507,0.6647507,0.860689024661836,109.68419359278423
Fluidigm Corporation - Common Stock,0.005404142,0.5404142,0.860689024661836,109.68419359278423
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.00110833,0.110833,0.860689024661836,109.68419359278423
"SPS Commerce, Inc. - Common Stock",0.006111806,0.6111806,0.860689024661836,109.68419359278423
"Lexicon Pharmaceuticals, Inc. - Common Stock",0.002950962,0.29509620000000003,0.860689024661836,109.68419359278423
"Donegal Group, Inc. - Class B Common Stock",0.000239164,0.023916399999999997,0.860689024661836,109.68419359278423
"Shiloh Industries, Inc. - Common Stock",0.002766587,0.2766587,0.860689024661836,109.68419359278423
"DB Gold Double Long ETN due February 15, 2038",0.003782489,0.3782489,0.860689024661836,109.68419359278423
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.053755128,5.3755128,0.860689024661836,109.68419359278423
"OSI Systems, Inc. - Common Stock",0.006984119,0.6984119,0.860689024661836,109.68419359278423
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.000770573,0.0770573,0.860689024661836,109.68419359278423
Lincoln Educational Services Corporation - Common Stock,0.035146729,3.5146729000000003,0.860689024661836,109.68419359278423
"Aerie Pharmaceuticals, Inc. - Common Stock",0.0,0.0,0.860689024661836,109.68419359278423
"Independence Realty Trust, Inc. Common Stock",0.031936048,3.1936048,0.860689024661836,109.68419359278423
"Blackstone Mortgage Trust, Inc. Common Stock",0.084534426,8.453442599999999,0.860689024661836,109.68419359278423
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.098462066,9.8462066,0.860689024661836,109.68419359278423
"ServiceMaster Global Holdings, Inc. Common Stock",0.001030978,0.10309780000000002,0.860689024661836,109.68419359278423
American Equity Investment Life Holding Company Common Stock,0.007226662,0.7226662,0.860689024661836,109.68419359278423
"Manitex International, Inc. - common stock",0.006233977,0.6233976999999999,0.860689024661836,109.68419359278423
Primo Water Corporation Common Stock,0.004093188,0.40931880000000004,0.860689024661836,109.68419359278423
"Champions Oncology, Inc. - Common Stock",0.004301908,0.4301908,0.860689024661836,109.68419359278423
"Cohu, Inc. - Common Stock",0.006884435,0.6884435,0.860689024661836,109.68419359278423
"Nuance Communications, Inc. - Common Stock",0.002089127,0.2089127,0.860689024661836,109.68419359278423
"Maiden Holdings, Ltd. 6.625% Notes due 2046",0.002532251,0.25322510000000004,0.860689024661836,109.68419359278423
"Carter's, Inc. Common Stock",0.009785795,0.9785794999999999,0.860689024661836,109.68419359278423
"Wayside Technology Group, Inc. - Common Stock",0.005090961,0.5090960999999999,0.860689024661836,109.68419359278423
"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",0.0,0.0,0.860689024661836,109.68419359278423
"Dillard's, Inc. Common Stock",0.0,0.0,0.860689024661836,109.68419359278423
"South Jersey Industries, Inc. Common Stock",0.032077975,3.2077975000000003,0.860689024661836,109.68419359278423
iPath Pure Beta Crude Oil ETN,0.005890777,0.5890777,0.860689024661836,109.68419359278423
WEX Inc. common stock,0.01449221,1.449221,0.860689024661836,109.68419359278423
Ducommun Incorporated Common Stock,0.020833404,2.0833404,0.860689024661836,109.68419359278423
"Cboe Global Markets, Inc. Common Stock",0.000742283,0.07422830000000001,0.860689024661836,109.68419359278423
Vonage Holdings Corp. - Common Stock,0.006211122,0.6211122,0.860689024661836,109.68419359278423
Barclays PLC Common Stock,0.00685762,0.685762,0.860689024661836,109.68419359278423
Biglari Holdings Inc. Class B Common Stock,0.001122262,0.1122262,0.860689024661836,109.68419359278423
Deutsche Bk Contingent Cap TR II Tr Pfd Sec,0.009834923,0.9834923000000001,0.860689024661836,109.68419359278423
"Alaska Air Group, Inc. Common Stock",0.0,0.0,0.860689024661836,109.68419359278423
Kennedy-Wilson Holdings Inc. Common Stock,0.0,0.0,0.860689024661836,109.68419359278423
"Copart, Inc. - Common Stock",0.059426786,5.9426786,0.860689024661836,109.68419359278423
"Marten Transport, Ltd. - Common Stock",0.007352258,0.7352258,0.860689024661836,109.68419359278423
Xinyuan Real Estate Co Ltd American Depositary Shares,0.00475668,0.47566800000000004,0.860689024661836,109.68419359278423
ORBCOMM Inc. - Common Stock,0.0,0.0,0.860689024661836,109.68419359278423
AGNC Investment Corp. - Common Stock,0.000460464,0.0460464,0.860689024661836,109.68419359278423
"Zillow Group, Inc. - Class A Common Stock",0.002620488,0.26204879999999997,0.860689024661836,109.68419359278423
Ion Geophysical Corporation Common Stock,0.000842606,0.08426059999999999,0.860689024661836,109.68419359278423
Nuveen Missouri Quality Municipal Income Fund ,0.010343991,1.0343991000000001,0.860689024661836,109.68419359278423
"Computer Task Group, Incorporated - Common Stock",3.9905e-05,0.0039905,0.860689024661836,109.68419359278423
"Voya Financial, Inc. Common Stock",0.002754112,0.2754112,0.860689024661836,109.68419359278423
Icahn Enterprises L.P. - Depositary units,0.002494912,0.24949120000000002,0.860689024661836,109.68419359278423
Extra Space Storage Inc Common Stock,0.029571066,2.9571066,0.860689024661836,109.68419359278423
"Theravance Biopharma, Inc. - Ordinary Shares",0.000626498,0.06264979999999999,0.860689024661836,109.68419359278423
Friedman Industries Inc. Common Stock,0.030654271,3.0654271,0.860689024661836,109.68419359278423
Radcom Ltd. - Ordinary Shares,0.002583711,0.25837109999999996,0.860689024661836,109.68419359278423
"Littelfuse, Inc. - Common Stock",0.023485368,2.3485367999999998,0.860689024661836,109.68419359278423
Oak Valley Bancorp (CA) - Common Stock,0.053154643,5.3154643,0.860689024661836,109.68419359278423
Ferro Corporation Common Stock,0.0,0.0,0.860689024661836,109.68419359278423
STAAR Surgical Company - Common Stock,0.027618903,2.7618903,0.860689024661836,109.68419359278423
Central European Media Enterprises Ltd. - Class A Common Stock,0.0,0.0,0.860689024661836,109.68419359278423
"Townsquare Media, Inc. Class A Common Stock",0.006308148,0.6308148,0.860689024661836,109.68419359278423
CNA Financial Corporation Common Stock,0.00631562,0.631562,0.860689024661836,109.68419359278423
