Generation,Fitness
0,0.29529257094247857
1,0.30743649386780597
2,0.3274639720400337
3,0.3274639720400337
4,0.3423052495923042
5,0.3595920145556991
6,0.381739069422505
7,0.4365431964222976
8,0.477447273794759
9,0.477447273794759
10,0.5187907355129427
11,0.5187907355129427
12,0.5187907355129427
13,0.5575479753307988
14,0.6189790831751956
15,0.6284774993551426
16,0.6306030123155226
17,0.682752128623416
18,0.6838887533702147
19,0.6876653620282303
20,0.7001998259481066
21,0.7213547417186759
22,0.7213547417186759
23,0.7271960338459539
24,0.7305336286594498
25,0.7606761814618782
26,0.7606761814618782
27,0.7630339089966844
28,0.7766634771114488
29,0.7766634771114488
30,0.7766634771114488
31,0.7805558905621769
32,0.8079188769749158
33,0.8079188769749158
34,0.8159927093177087
35,0.8159927093177087
36,0.8159927093177087
37,0.8159927093177087
38,0.8159927093177087
39,0.8159927093177087
40,0.8159927093177087
41,0.8159927093177087
42,0.8159927093177087
43,0.8159927093177087
44,0.8159927093177087
45,0.8159927093177087
46,0.8159927093177087
47,0.8159927093177087
48,0.8159927093177087
49,0.8159927093177087
50,0.8159927093177087
