Generation,Diversity
0,0.005599699867092583
1,0.005638122737777678
2,0.005878403638411987
3,0.005819175435950243
4,0.00599590474602761
5,0.00592693181403946
6,0.00598917006923654
7,0.006083132369188938
8,0.006031116481963813
9,0.006078801281964303
10,0.0059627928205040785
11,0.005830255803423128
12,0.005912097010180735
13,0.0059097288887082645
14,0.005803127900511501
15,0.0057159849421395455
16,0.0056210039319211594
17,0.005518852439045303
18,0.0054085776909043445
19,0.0053383783871942024
20,0.005347999839023592
21,0.005316321495343093
22,0.005079655116278726
23,0.004792165074732708
24,0.004715415491014704
25,0.004620046223667303
26,0.004806284459348903
27,0.0045970667725275735
28,0.004541097675160609
29,0.004563089144252633
30,0.004621048007889045
31,0.004562175106173111
32,0.004626217880475587
33,0.0048592644269969815
34,0.004787021423698136
35,0.004748693016286274
36,0.004800823627347581
37,0.0045191355662853264
38,0.004364174755590835
39,0.004349044919530515
40,0.00429233613211484
41,0.004113692059527646
42,0.004062573876605321
43,0.004386396531949619
44,0.004325420238644641
45,0.004191572156136976
46,0.004220478179686
47,0.00422511658445797
48,0.004247945019804976
49,0.004363910324683806
50,0.00427445632278903
51,0.004293910010105346
52,0.004315434917991623
53,0.004252044315397972
54,0.004380500203300181
55,0.0043270311887326956
56,0.004274218758352302
57,0.004374206016665745
58,0.004231767131705476
59,0.004049539258571208
60,0.003949521482707997
61,0.003665726191340465
62,0.0037685317906268954
63,0.0036296038911969464
64,0.003703114596782139
65,0.0036294552347723003
66,0.0035984465402068375
67,0.00351560074302387
68,0.003598885510970005
69,0.003635881713200704
70,0.0035453246269481265
71,0.0035582104241132333
72,0.003511551306664676
73,0.0036988536851951313
74,0.0038008856595339786
75,0.003677217655431106
76,0.0036157496797815346
77,0.003836624987270829
78,0.003674455228592456
79,0.003683104808371017
80,0.0036920468527879163
81,0.0037200204940424386
82,0.00367284060639986
83,0.003930644924886781
84,0.003998946567683054
85,0.004114484777022857
86,0.004132928068725348
87,0.004264631654299192
88,0.003975801220795139
89,0.003931854683034687
90,0.003891661270181082
91,0.0038466449373194605
92,0.0038702996601024404
93,0.003989810920091386
94,0.004214176810664971
95,0.004180583218514033
96,0.004075051945949043
97,0.003956362669166609
98,0.004068969305088729
99,0.004077595712929144
100,0.004155433757459426
