Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,0.001684003,0.1684003,0.8821876491208277,109.8032161789923
"Kirkland's, Inc. - Common Stock",0.002996818,0.2996818,0.8821876491208277,109.8032161789923
Stepan Company Common Stock,0.015497372,1.5497372,0.8821876491208277,109.8032161789923
"Watts Water Technologies, Inc. Class A Common Stock",0.008658577,0.8658577000000001,0.8821876491208277,109.8032161789923
"Lifetime Brands, Inc. - Common Stock",0.004671798,0.4671798,0.8821876491208277,109.8032161789923
"Dave & Buster's Entertainment, Inc. - Common Stock",0.0,0.0,0.8821876491208277,109.8032161789923
"PolarityTE, Inc. - Common Stock",0.000352398,0.0352398,0.8821876491208277,109.8032161789923
Fluidigm Corporation - Common Stock,0.000117339,0.0117339,0.8821876491208277,109.8032161789923
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.008287499,0.8287499,0.8821876491208277,109.8032161789923
"SPS Commerce, Inc. - Common Stock",0.010657496,1.0657496,0.8821876491208277,109.8032161789923
"Lexicon Pharmaceuticals, Inc. - Common Stock",0.025120624,2.5120624,0.8821876491208277,109.8032161789923
"Donegal Group, Inc. - Class B Common Stock",0.010838303,1.0838303,0.8821876491208277,109.8032161789923
"Shiloh Industries, Inc. - Common Stock",0.00126848,0.126848,0.8821876491208277,109.8032161789923
"DB Gold Double Long ETN due February 15, 2038",0.001539409,0.1539409,0.8821876491208277,109.8032161789923
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.001756133,0.1756133,0.8821876491208277,109.8032161789923
"OSI Systems, Inc. - Common Stock",0.00070118,0.070118,0.8821876491208277,109.8032161789923
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.006378327,0.6378326999999999,0.8821876491208277,109.8032161789923
Lincoln Educational Services Corporation - Common Stock,0.001790556,0.1790556,0.8821876491208277,109.8032161789923
"Aerie Pharmaceuticals, Inc. - Common Stock",0.002862186,0.2862186,0.8821876491208277,109.8032161789923
"Independence Realty Trust, Inc. Common Stock",0.022985791,2.2985791,0.8821876491208277,109.8032161789923
"Blackstone Mortgage Trust, Inc. Common Stock",0.00257767,0.25776699999999997,0.8821876491208277,109.8032161789923
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.098406736,9.840673599999999,0.8821876491208277,109.8032161789923
"ServiceMaster Global Holdings, Inc. Common Stock",0.011335947,1.1335947000000002,0.8821876491208277,109.8032161789923
American Equity Investment Life Holding Company Common Stock,0.008204228,0.8204227999999999,0.8821876491208277,109.8032161789923
"Manitex International, Inc. - common stock",0.0,0.0,0.8821876491208277,109.8032161789923
Primo Water Corporation Common Stock,0.024470313,2.4470313,0.8821876491208277,109.8032161789923
"Champions Oncology, Inc. - Common Stock",0.007270094,0.7270094,0.8821876491208277,109.8032161789923
"Cohu, Inc. - Common Stock",0.002971294,0.29712940000000004,0.8821876491208277,109.8032161789923
