Generation,Fitness
0,0.32609705518160226
1,0.32609705518160226
2,0.32609705518160226
3,0.34540123031231756
4,0.39384557978545226
5,0.4317411818582815
6,0.46574889314156964
7,0.5711604365889087
8,0.5711604365889087
9,0.6290972416721938
10,0.6290972416721938
11,0.6290972416721938
12,0.6826221446447933
13,0.6826221446447933
14,0.6826221446447933
15,0.6826221446447933
16,0.6826221446447933
17,0.696696266928702
18,0.7266737434679056
19,0.7266737434679056
20,0.7408303450888296
21,0.7408303450888296
22,0.7408303450888296
23,0.7408303450888296
24,0.7408303450888296
25,0.7408303450888296
26,0.7408303450888296
27,0.7655745020620333
28,0.7833923675746006
29,0.7833923675746006
30,0.7833923675746006
31,0.7833923675746006
32,0.7948642461877011
33,0.7948642461877011
34,0.7948642461877011
35,0.8073202684629015
36,0.8073202684629015
37,0.8073202684629015
38,0.8073202684629015
39,0.8217027632350304
40,0.8248707359223937
41,0.8338494138216551
42,0.8338494138216551
43,0.844089100540526
44,0.844089100540526
45,0.844089100540526
46,0.8452694573564414
47,0.8452694573564414
48,0.8452694573564414
49,0.8452694573564414
50,0.8788254857222347
51,0.8788254857222347
52,0.8788254857222347
53,0.8788254857222347
54,0.8788254857222347
55,0.8788254857222347
56,0.8788254857222347
57,0.8799832181180189
58,0.8799832181180189
59,0.8799832181180189
60,0.8799832181180189
61,0.8799832181180189
62,0.8799832181180189
63,0.8799832181180189
64,0.8799832181180189
65,0.8799832181180189
66,0.8799832181180189
67,0.8799832181180189
68,0.8799832181180189
69,0.892486008058073
70,0.892486008058073
71,0.892486008058073
72,0.892486008058073
73,0.892486008058073
74,0.892486008058073
75,0.892486008058073
76,0.892486008058073
77,0.892486008058073
78,0.892486008058073
79,0.892486008058073
80,0.892486008058073
81,0.8968045461694284
82,0.8968045461694284
83,0.8968045461694284
84,0.8968045461694284
85,0.8968045461694284
86,0.8968045461694284
87,0.8968045461694284
88,0.8968045461694284
89,0.8968045461694284
90,0.8968045461694284
91,0.8968045461694284
92,0.8968045461694284
93,0.8968045461694284
94,0.8968045461694284
95,0.8987231048205382
96,0.8987231048205382
97,0.8987231048205382
98,0.8987231048205382
99,0.8987231048205382
100,0.8987231048205382
