Generation,Diversity
0,0.00561441287375533
1,0.005418583837252244
2,0.005235572161785508
3,0.005159918988711677
4,0.005040719462553906
5,0.004786399616059987
6,0.004748118057075977
7,0.004175577097117271
8,0.003981621608549991
9,0.0037693234754438147
10,0.0037492295367750833
11,0.003628643587133589
12,0.0035177960559096316
13,0.003100453080569169
14,0.0030663650543846354
15,0.002830880831868496
16,0.0028108306977527946
17,0.002834372108721178
18,0.0028061361804972706
19,0.002973765762341181
20,0.002873084261886229
21,0.0028286215539243126
22,0.0028560395875752227
23,0.0029323971228495836
24,0.002993163680157997
25,0.002713618778095162
26,0.0027356394474725414
27,0.002769977653956348
28,0.002557859226427811
29,0.002470819375945732
30,0.0022582443259822216
31,0.0022120833879449046
32,0.0018312960843847705
33,0.0016742357323863899
34,0.001606224588019025
35,0.001706017051699091
36,0.0014529638274583527
37,0.0014767369629035084
38,0.0016226018127913245
39,0.001703246080556121
40,0.0016669032161953864
41,0.0017726252400373844
42,0.001677976651020291
43,0.0016918104452335948
44,0.0016008699263339666
45,0.001573549715404503
46,0.001627738409821069
47,0.0016327080145239856
48,0.0016815210470918893
49,0.0018680292511669117
50,0.0017242935482448163
