Generation,Diversity
0,0.005812928262293068
1,0.005865265688665705
2,0.005958373829755899
3,0.006110020689042907
4,0.006080942324508948
5,0.006119865570099714
6,0.00609660588629767
7,0.006177048180858274
8,0.006416473609957119
9,0.006315132087380627
10,0.0062844890849828505
11,0.006381287104761103
12,0.006489578719572448
13,0.006544911628684505
14,0.006491593280242323
15,0.00642349246821588
16,0.006458744665224046
17,0.006380225493142648
18,0.006143560592627084
19,0.00608230415851351
20,0.006063954281277245
21,0.006059394876849827
22,0.006192830908660251
23,0.006152455888040899
24,0.006184994213686761
25,0.006168407425324092
26,0.006244554617844512
27,0.006297389077043002
28,0.006256848499410539
29,0.00620922855108052
30,0.006231092325687055
31,0.006169877823877976
32,0.006218156939005281
33,0.006254449728311152
34,0.006022203871489357
35,0.006194589755303008
36,0.006087034389227062
37,0.005957022268235329
38,0.005683762191904347
39,0.005511361611969738
40,0.005633480611111903
41,0.005744745519612381
42,0.005827375441571661
43,0.005862004390403043
44,0.0059230004039852345
45,0.005867504673809395
46,0.005701451026664543
47,0.005572724382356918
48,0.005415382443591343
49,0.005514341815654351
50,0.0056018698252829945
