experiment_id,dataset_name,pop_size,max_generations,mutation_rate,repair_method,tournament_size,num_elites,seed,sharpe_ratio,convergence_history
unknown,high_10_companies,100,50,0.1,normalize,3,1,0,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,1,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,2,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,3,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,4,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,5,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,6,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,7,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,8,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
unknown,high_10_companies,100,50,0.1,normalize,3,1,9,10.946397385117681,"[np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681), np.float64(10.946397385117681)]"
