Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,0.009385309,0.9385309,0.8661058246175894,108.58461515608093
"Kirkland's, Inc. - Common Stock",0.000430294,0.0430294,0.8661058246175894,108.58461515608093
Stepan Company Common Stock,0.04141919,4.141919000000001,0.8661058246175894,108.58461515608093
"Watts Water Technologies, Inc. Class A Common Stock",0.013448714,1.3448714000000002,0.8661058246175894,108.58461515608093
"Lifetime Brands, Inc. - Common Stock",0.0,0.0,0.8661058246175894,108.58461515608093
"Dave & Buster's Entertainment, Inc. - Common Stock",0.002889166,0.28891659999999997,0.8661058246175894,108.58461515608093
"PolarityTE, Inc. - Common Stock",0.00612505,0.612505,0.8661058246175894,108.58461515608093
Fluidigm Corporation - Common Stock,0.002045883,0.2045883,0.8661058246175894,108.58461515608093
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.00660857,0.660857,0.8661058246175894,108.58461515608093
"SPS Commerce, Inc. - Common Stock",0.003350891,0.3350891,0.8661058246175894,108.58461515608093
"Lexicon Pharmaceuticals, Inc. - Common Stock",0.000547497,0.0547497,0.8661058246175894,108.58461515608093
"Donegal Group, Inc. - Class B Common Stock",0.010931538,1.0931537999999998,0.8661058246175894,108.58461515608093
"Shiloh Industries, Inc. - Common Stock",0.003534533,0.35345329999999997,0.8661058246175894,108.58461515608093
"DB Gold Double Long ETN due February 15, 2038",0.003961255,0.3961255,0.8661058246175894,108.58461515608093
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.024297852,2.4297852,0.8661058246175894,108.58461515608093
"OSI Systems, Inc. - Common Stock",0.011615916,1.1615916,0.8661058246175894,108.58461515608093
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.021898641,2.1898641,0.8661058246175894,108.58461515608093
Lincoln Educational Services Corporation - Common Stock,0.002927564,0.2927564,0.8661058246175894,108.58461515608093
"Aerie Pharmaceuticals, Inc. - Common Stock",0.011118023,1.1118023,0.8661058246175894,108.58461515608093
"Independence Realty Trust, Inc. Common Stock",0.014593549,1.4593549000000001,0.8661058246175894,108.58461515608093
"Blackstone Mortgage Trust, Inc. Common Stock",0.020595688,2.0595688,0.8661058246175894,108.58461515608093
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.099641613,9.9641613,0.8661058246175894,108.58461515608093
