algorithm,quality,run_id,sharpe_ratio,annual_return,runtime,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2,PSOussian_stdev
GA,worst,1,0.555458405210769,2541.5064602853777,7.830383777618408,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,2,0.5728732383938714,63.26542876690978,5.973561763763428,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,3,0.555890463579059,1573.007156888931,6.057394981384277,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,4,0.5639501368966534,867.2924049182631,6.035597801208496,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,5,0.5596187015130565,932.3741779167019,6.025025129318237,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,6,0.5396003150706414,173.95126265112526,6.524658918380737,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,7,0.598772638644426,1116.6901647513082,6.049439907073975,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,8,0.5619341570216182,28.809906838348027,5.937532901763916,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,9,0.5625287521017226,520.7447014833608,6.082766771316528,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,10,0.554803583440342,1235.313734915719,6.196851015090942,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,11,0.56768681484364,1493.3877583192193,6.1628737449646,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,12,0.5670302839789746,12.534433188123657,6.138392925262451,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,13,0.6009084099697246,10.805892431326225,5.930312871932983,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,14,0.5411426043064658,254.9666871522536,6.1974101066589355,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,15,0.5531138670374061,1687.304204995893,6.130846977233887,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,16,0.5417620904760068,82.88903367286902,6.533285856246948,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,17,0.5392376637230007,85.43165537440083,6.394588232040405,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,18,0.5780853883258332,140.86203268029038,6.304420709609985,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,19,0.5642583891120732,1693.630099792053,6.265022039413452,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,20,0.5696729532553036,5.4786387701715356,6.29923415184021,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,21,0.5728763912328784,886.9554368393458,6.3713219165802,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,22,0.5531676425525904,114.4382579328301,6.922201156616211,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,23,0.5628622595093642,1107.633253920263,6.431808948516846,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,24,0.5541045891911975,120.51651203861883,6.124386787414551,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,25,0.5799215702389133,220.820088977457,6.314206123352051,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,26,0.5877138447352326,384.9358401148171,5.875621795654297,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,27,0.5530101645741536,890.9844607762728,6.260847806930542,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,28,0.5775962833480994,939.775431938232,6.009877920150757,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,29,0.5873161935595821,80.04260405434715,6.073498010635376,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,30,0.5742434260612459,1670.0712635327418,6.409959077835083,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
GA,worst,31,0.5501688338743815,209.06244907298336,5.97513484954834,normalize,0.5364418468314469,0.0137159000736912,7.508220187266028,8.673345375061036,51.0,200.0,0.1,0.05,2.0,50.0,,,,,,
PSO,worst,1,0.6857756611822508,440.9881180169056,9.184061050415039,normalize,0.8275766782004885,0.0372581245718865,70.3734418342533,9.828577375411989,51.0,,,,,,200.0,50.0,0.4,1.0,1.5,
PSO,worst,2,1.0213498245733277,763.3946564572817,7.313421010971069,normalize,0.8275766782004885,0.0372581245718865,70.3734418342533,9.828577375411989,51.0,,,,,,200.0,50.0,0.4,1.0,1.5,
PSO,worst,3,1.0468928296897735,746.4989516495937,7.325592041015625,normalize,0.8275766782004885,0.0372581245718865,70.3734418342533,9.828577375411989,51.0,,,,,,200.0,50.0,0.4,1.0,1.5,
