Generation,Diversity
0,0.002878762132882242
1,0.002147287767742512
2,0.0020865840379109078
3,0.001897670142431767
4,0.0017968338731293703
5,0.0016178702566615733
6,0.0013910131224174572
7,0.0013235808623391842
8,0.0012196669615626027
9,0.0011468053071377752
10,0.001048483783939515
11,0.0010274937753811276
12,0.0010767429266855457
13,0.0009894739347934545
14,0.0009550355170598898
15,0.0010075797048090867
16,0.0009255094216078861
17,0.0007657675612094199
18,0.0007405265653385155
19,0.0007248174303149114
20,0.000964032884581873
21,0.0010427885744181522
22,0.0008965621060271856
23,0.0008465895529057466
24,0.0009664329872992377
25,0.001080531623438902
26,0.0012333722239901237
27,0.0013400488430229801
28,0.0015761659846192544
29,0.001689553651451178
30,0.0018054809550180461
31,0.002035202685378234
32,0.002070189478637465
33,0.002222267122484636
34,0.002316975303571488
35,0.0025071619069041273
36,0.0027713548210222417
37,0.0027115862753402274
38,0.002937885422439182
39,0.0029284439153744206
40,0.0029844177071054433
41,0.0031138780200118967
42,0.003092418183092761
43,0.0032782164722818664
44,0.0029865172450663654
45,0.003206649296788636
46,0.0034798188319599375
47,0.003720317986540339
48,0.0036517393347811227
49,0.003949909671794286
50,0.004855688484904475
