Generation,Fitness
0,0.31037593209559877
1,0.35236167529816265
2,0.4223349549729839
3,0.5056812142812241
4,0.5851670847075203
5,0.6048956531937661
6,0.6245909912015518
7,0.6488505755618641
8,0.677659648983282
9,0.7070127940059802
10,0.7527881968040511
11,0.7875859155633995
12,0.8140897232883649
13,0.8430376850162085
14,0.8775357958574624
15,0.9248555987929272
16,0.9559338451661393
17,0.9807046049402074
18,1.0103839826354284
19,1.049530144360877
20,1.0811132461166584
21,1.122834645436517
22,1.1488186270335892
23,1.1591612589702003
24,1.1670412668896635
25,1.1739793599751112
26,1.188740469641115
27,1.1977135986149472
28,1.211284797122306
29,1.2219296659366363
30,1.2315574780918683
31,1.2474093859212108
32,1.265425365775616
33,1.276578363044088
34,1.2821662771206
35,1.2896454721875814
36,1.3020761027123704
37,1.3053851204148577
38,1.315694428438932
39,1.3270791946802163
40,1.3391176808410583
41,1.3457288819781654
42,1.3517916007842006
43,1.357245499083219
44,1.3587588237966508
45,1.3600912682239925
46,1.3620421358045927
47,1.3616130005871292
48,1.3636470075734715
49,1.3681604540137475
50,1.3696013442614787
