Generation,Diversity
0,0.002864970796315096
1,0.002192621490178707
2,0.0021921946816347597
3,0.00198967960153911
4,0.001777849797302723
5,0.0016575959707287402
6,0.0014964142575239602
7,0.0013861625123632378
8,0.0013118303856753694
9,0.001181768852136684
10,0.0010990819219605583
11,0.0010227364439841715
12,0.0009787871868624691
13,0.0009407647587815518
14,0.0008799655136158273
15,0.0008362831228752314
16,0.0007590605831995986
17,0.0007835863939971513
18,0.0006942515097543908
19,0.0006128261053711133
20,0.0005330182678526211
21,0.0004612719711850562
22,0.0004021969151752619
23,0.00036150324725680417
24,0.00034759355180156244
25,0.00032773650680995763
26,0.0003334478200101006
27,0.0004911263115174655
28,0.0005684218590024451
29,0.0006196600036668101
30,0.0006813822883749176
31,0.0007022868180234196
32,0.0006993610314183862
33,0.0007552925376278538
34,0.0007862780588291746
35,0.0008107451184712408
36,0.0007517102533548925
37,0.0009314192423169021
38,0.0010891031659677473
39,0.0012523809921541537
40,0.0014056022985500043
41,0.001669976563675114
42,0.00185267482748815
43,0.001912615162258311
44,0.002195715679016669
45,0.0022906408571361546
46,0.002438201309668252
47,0.002613672025997368
48,0.002807328516667401
49,0.0029651955550816012
50,0.0038751554373941065
