Company,Weight,Percentage,Sharpe Ratio,Annual Return
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.0001771003207017551,0.017710032070175512,1.4274853484567895,39156.83321768783
"Cisco Systems, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Primerica, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Nuveen Municipal Credit Income Fund ,0.0018830496107546011,0.1883049610754601,1.4274853484567895,39156.83321768783
Unit Corporation Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"HubSpot, Inc. Common Stock",0.09993102953030093,9.993102953030093,1.4274853484567895,39156.83321768783
Great Panther Mining Limited Ordinary Shares (Canada),0.0,0.0,1.4274853484567895,39156.83321768783
"Sinclair Broadcast Group, Inc. - Class A Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"United Fire Group, Inc - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,0.0,0.0,1.4274853484567895,39156.83321768783
"Guaranty Federal Bancshares, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Air T, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
SITE Centers Corp. Common Stock,8.707546808257314e-05,0.008707546808257314,1.4274853484567895,39156.83321768783
Nuveen New York Select Tax-Free Income Portfolio Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
BlackRock New York Municipal Income Trust,0.0,0.0,1.4274853484567895,39156.83321768783
"Regional Health Properties, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Innovative Solutions and Support, Inc. - Common Stock",0.0001959330398615516,0.01959330398615516,1.4274853484567895,39156.83321768783
"Kandi Technologies Group, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,0.0,0.0,1.4274853484567895,39156.83321768783
"Transcat, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Carolina Financial Corporation - Common Stock,0.01980337699445145,1.980337699445145,1.4274853484567895,39156.83321768783
"Natuzzi, S.p.A.",0.0,0.0,1.4274853484567895,39156.83321768783
"Advanced Energy Industries, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"United Airlines Holdings, Inc. - Common Stock",1.0877508951065352e-07,1.0877508951065352e-05,1.4274853484567895,39156.83321768783
"T. Rowe Price Group, Inc. - Common Stock",5.865872908576519e-05,0.005865872908576519,1.4274853484567895,39156.83321768783
"Intuitive Surgical, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"EastGroup Properties, Inc. Common Stock",0.09993102953030093,9.993102953030093,1.4274853484567895,39156.83321768783
Ellington Financial Inc. Common Stock ,0.0,0.0,1.4274853484567895,39156.83321768783
"NVR, Inc. Common Stock",0.09993102953030093,9.993102953030093,1.4274853484567895,39156.83321768783
"Frequency Electronics, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Worthington Industries, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Perrigo Company plc Ordinary Shares,0.0,0.0,1.4274853484567895,39156.83321768783
"Lincoln Electric Holdings, Inc. - Common Shares",8.08321919541568e-05,0.00808321919541568,1.4274853484567895,39156.83321768783
RPT Realty Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"Veracyte, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"USA Compression Partners, LP Common Units Representing Limited Partner Interests",0.00045323529014026226,0.045323529014026226,1.4274853484567895,39156.83321768783
Cohen & Company Inc.,0.0,0.0,1.4274853484567895,39156.83321768783
Neuberger Berman California Municipal Fund Inc Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"Douglas Dynamics, Inc. Common Stock",0.010805803593966037,1.0805803593966037,1.4274853484567895,39156.83321768783
Pivotal Investment Corporation II Class A Common Stock,0.09993102953030093,9.993102953030093,1.4274853484567895,39156.83321768783
"PRGX Global, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Enerplus Corporation Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"India Fund, Inc. (The) Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Koninklijke Philips N.V. NY Registry Shares,0.0,0.0,1.4274853484567895,39156.83321768783
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),0.0,0.0,1.4274853484567895,39156.83321768783
Orrstown Financial Services Inc - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
PIMCO Income Strategy Fund Shares of Beneficial Interest,0.0,0.0,1.4274853484567895,39156.83321768783
Precision Drilling Corporation Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"Orion Energy Systems, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Ballard Power Systems, Inc. - Common Shares",0.0,0.0,1.4274853484567895,39156.83321768783
"Northern Oil and Gas, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Bluelinx Holdings Inc. Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
DWS Strategic Municipal Income Trust,0.0,0.0,1.4274853484567895,39156.83321768783
City Holding Company - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Liberty Global plc - Class C Ordinary Shares,8.073536894643619e-05,0.008073536894643619,1.4274853484567895,39156.83321768783
"Spok Holdings, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Steel Partners Holdings LP LTD PARTNERSHIP UNIT,0.0,0.0,1.4274853484567895,39156.83321768783
"Tapestry, Inc. Common Stock",9.829973775894967e-06,0.0009829973775894968,1.4274853484567895,39156.83321768783
"TCW Strategic Income Fund, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Devon Energy Corporation Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
MGE Energy Inc. - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
American Superconductor Corporation - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"Servotronics, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Columbia Seligman Premium Technology Growth Fund Inc,0.0,0.0,1.4274853484567895,39156.83321768783
Acceleron Pharma Inc. - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"Stanley Black & Decker, Inc. Corporate Units",0.0,0.0,1.4274853484567895,39156.83321768783
"DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062",0.0,0.0,1.4274853484567895,39156.83321768783
"SCYNEXIS, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Manning & Napier, Inc. Class A Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Amtech Systems, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Inspired Entertainment, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Service Properties Trust - Shares of Beneficial Interest,0.0,0.0,1.4274853484567895,39156.83321768783
"DTF Tax-Free Income, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Hanmi Financial Corporation - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Crane Co. Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"ADTRAN, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Coffee Holding Co., Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Sandstorm Gold Ltd. Ordinary Shares (Canada),0.0,0.0,1.4274853484567895,39156.83321768783
Daxor Corporation Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Crestwood Equity Partners LP,0.0,0.0,1.4274853484567895,39156.83321768783
"Omega Flex, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
DURECT Corporation - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Antero Midstream Corporation Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Wayfair Inc. Class A Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Adams Diversified Equity Fund Inc.,0.0,0.0,1.4274853484567895,39156.83321768783
"Blackrock MuniYield Quality Fund II, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Celanese Corporation Celanese Corporation Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Astrotech Corporation - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
Marathon Oil Corporation Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"DB Gold Double Short ETN due February 15, 2038",0.00034979866850184385,0.034979866850184387,1.4274853484567895,39156.83321768783
"Hovnanian Enterprises, Inc. Class A Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Neurocrine Biosciences, Inc. - Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
"Evertec, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
Oaktree Strategic Income Corporation - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"Huami Corporation American Depositary Shares, each representing four Class A Ordinary Shares",0.0,0.0,1.4274853484567895,39156.83321768783
Boeing Company (The) Common Stock,0.09993102953030093,9.993102953030093,1.4274853484567895,39156.83321768783
Vertex Pharmaceuticals Incorporated - Common Stock,0.0,0.0,1.4274853484567895,39156.83321768783
"American Financial Group, Inc. Common Stock",0.0,0.0,1.4274853484567895,39156.83321768783
