Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.0021760268926434745,3.5197221835735825e-05
2,0.0022100657688077065,5.650093533929593e-05
3,0.001904919320484063,6.649432623750178e-05
4,0.001728196543591627,0.00011121398091171533
5,0.0015989068724562103,0.0001422501469830162
6,0.0014547747217229943,0.00012145622568460827
7,0.001369897206368002,0.0001240277091965041
8,0.0014014318100690766,0.0002445694653496385
9,0.0014672899394204836,0.00042414235007994357
10,0.0016221872725539243,0.0005159847429950741
11,0.0018648263531848594,0.0006096087781547628
12,0.002117224422241214,0.0006789913841481771
13,0.002368076597236413,0.0007490476823819875
14,0.0026039959180699074,0.0008114047195633572
15,0.0028768585824554245,0.0009323721407544012
16,0.003216046982864707,0.001031487037756305
17,0.003553609842474403,0.0011312407135817568
18,0.003908998750532059,0.0011998611619267376
19,0.00423498198937646,0.001328632403627275
20,0.004600448059897355,0.0014418376170452418
21,0.005010005394358233,0.0016016235599160334
22,0.005393468966184736,0.0017251718779759577
23,0.005655292853246024,0.0017324125322754368
24,0.006075575255690956,0.0018399004798756685
25,0.006455639935680013,0.0019429907907259239
26,0.006712111773935502,0.0019616557020579336
27,0.007061954206607808,0.0020376909994611948
28,0.007498680502898809,0.00226808143613873
29,0.0077981559816376065,0.002359438456684401
30,0.008136424719879546,0.0024834018374891207
31,0.00843197604495303,0.002668680368453073
32,0.00869343739205589,0.002829806586533351
33,0.009045012117966125,0.0028836316205825096
34,0.009366865512487648,0.0029702897730395253
35,0.009661435859753448,0.0030229083164180093
36,0.00990480526036205,0.0030199436432345665
37,0.01010245251517728,0.003016974006334183
38,0.010370451186473924,0.003170211340804045
39,0.010599064744899299,0.0031916665847424946
40,0.010649697113936261,0.0029408724596984713
41,0.01087501336388669,0.002992513862139324
42,0.010945008014588434,0.0030231682660379323
43,0.011170215787452685,0.0030709265883063063
44,0.01122684504423356,0.0030922418529674934
45,0.01131435205666204,0.0030509943658426873
46,0.011412998416001964,0.0030786192517419804
47,0.011472162606690626,0.0030380247963028937
48,0.01163240176633487,0.003168359181819333
49,0.011868059920183891,0.0034073047388530633
50,0.011943851711046817,0.0034284787748190856
51,0.011964681616599984,0.0034246887974323037
52,0.011949223876878771,0.0034212793820527212
53,0.012056393236879327,0.0035415509210609385
54,0.012054110513006007,0.0034307969700020464
55,0.012104380126804704,0.0035093401660922833
56,0.012302489626027148,0.0035165663745251726
57,0.012361798764878012,0.003356414483262319
58,0.01245203792047134,0.003411213940300101
59,0.012490224248517454,0.0034798794564561294
60,0.012494898836300448,0.003447747511919349
61,0.012524150609972797,0.003451856263507594
62,0.012505687467305907,0.0035478387579424954
63,0.01261251218473697,0.00365612788912234
64,0.012699399223330035,0.003828868884723853
65,0.012772582745711521,0.0038951651269101702
66,0.012855011599851598,0.004091449084936876
67,0.01288422614196352,0.004075590547434483
68,0.012945164969432663,0.004082209158158567
69,0.012914239741594356,0.004047390641209826
70,0.012857670850647174,0.004091984321633957
71,0.012874327286418567,0.004069619531951669
72,0.012965153242291595,0.003959227086916786
73,0.013080471003086213,0.003991023580821157
74,0.013056001876619747,0.004005831082982255
75,0.013132659715569619,0.003948481760363866
76,0.013149020401579314,0.003888921503428235
77,0.013169468601830362,0.0038998669328660423
78,0.013246169560519563,0.003906757347644808
79,0.013262966455620749,0.0038925364914530023
80,0.013353208825728442,0.003937760597551713
81,0.013358901764696524,0.004013552815011509
82,0.013426933949745295,0.004090690753850333
83,0.013411929979986267,0.004050986510564638
84,0.013470493441560706,0.004128745199586151
85,0.013513749184557437,0.004163733614586696
86,0.013482485552332684,0.004107576254546248
87,0.01350551308493976,0.004150942152849107
88,0.013565255752958635,0.004183533907130172
89,0.013544795380496645,0.004091555516848839
90,0.013499359328696404,0.0040609449144488
91,0.013471539680669298,0.004059329752534515
92,0.013548702119106049,0.004162894161863999
93,0.013594044810582611,0.004319072727433169
94,0.013684397184651741,0.004532418971438839
95,0.013690350135557083,0.004511471161470118
96,0.013727441351634739,0.004556812569356222
97,0.013759120774739089,0.004685874695309232
98,0.013735831049913341,0.004717051222984885
99,0.01375685376659527,0.004664117127754341
100,0.013701570710109271,0.004698883690446286
