Generation,Mean Fitness,Std Fitness
0,0.30515527050193625,0.007401893089010871
1,0.5220743783905631,0.07540583134943783
2,0.5720673131648889,0.05699987968433645
3,0.6002966051617988,0.05520405055444823
4,0.6229553806337385,0.056176671293953526
5,0.6353116732517263,0.05499707517785357
6,0.6428961630656843,0.0529311825401583
7,0.6513798220291245,0.04727368498469913
8,0.6623148854595733,0.05647983638622765
9,0.6626776167077055,0.05644685905199018
10,0.6704543096498439,0.056030004257002906
11,0.6744059324252373,0.05209355491882185
12,0.6768839823876934,0.05330439486966651
13,0.6809454548229019,0.05208102303243684
14,0.6884261843330477,0.05076903971058665
15,0.6929845514567866,0.045135058746074735
16,0.6929845514567866,0.045135058746074735
17,0.6929845514567866,0.045135058746074735
18,0.6941964658821477,0.044769251014689246
19,0.6946272815489704,0.04492871839041058
20,0.6968012936339075,0.04556469654363683
21,0.6968012936339075,0.04556469654363683
22,0.7046515981665611,0.0444265185642066
23,0.7084662552471802,0.04679831276134079
24,0.7084662552471802,0.04679831276134079
25,0.7086986508035776,0.046448020289573316
26,0.7098476177432081,0.045294952954800086
27,0.7105579659725704,0.044547924324077975
28,0.7105579659725704,0.044547924324077975
29,0.7113472588605112,0.04375404001006126
30,0.712654794637137,0.04401596469716967
31,0.712654794637137,0.04401596469716967
32,0.7158833841972759,0.042887432423401685
33,0.7173151529208153,0.0418807539795128
34,0.7173151529208153,0.0418807539795128
35,0.7173151529208153,0.0418807539795128
36,0.719184602526204,0.04032293766315027
37,0.719184602526204,0.04032293766315027
38,0.7228604460601696,0.043657090267513236
39,0.7228604460601696,0.043657090267513236
40,0.7229415950723982,0.04363356692186083
41,0.7229415950723982,0.04363356692186083
42,0.7252853396763517,0.04060460358998367
43,0.7252853396763517,0.04060460358998367
44,0.7284948654035646,0.04460414940916595
45,0.7285682364196703,0.0445273124915824
46,0.7311147177116774,0.04387852343503699
47,0.731814161777841,0.0432031167842231
48,0.7328886266074531,0.04235812438427856
49,0.736373704976369,0.043078702237946
50,0.7382225151393362,0.04360775846544716
