Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.011650299805076845,0.0001120321365079938
2,0.013198429055972793,0.00010474939714448456
3,0.013558488792144748,0.00010769823022069534
4,0.013575706412734156,0.00010071285043781873
5,0.013560157760098678,9.495250492068468e-05
6,0.013549824267730042,0.00010664725275427083
7,0.013517655120560973,9.577812968444702e-05
8,0.01352453585661488,8.611207415210615e-05
9,0.013521563108300829,9.225855570515368e-05
10,0.013529221161511614,0.00010065313717494252
11,0.013529980339838816,8.828063919911099e-05
12,0.013506789169264047,8.633323148566996e-05
13,0.013491064575620151,9.999775223854654e-05
14,0.013523877992409917,0.00010030959376884772
15,0.01349799407448591,0.00010835049604393694
16,0.013509916572673445,7.41507587364429e-05
17,0.013518936501065275,0.00010044648764864922
18,0.013535810121552392,0.00010051210821592441
19,0.013545412760874296,0.00010565468889209495
20,0.01352997457840022,8.369192577157669e-05
21,0.013512602581477167,9.993235358132492e-05
22,0.013527008804428411,8.65958033653519e-05
23,0.013538351167242103,8.583867661702842e-05
24,0.013522626744213813,8.458461499570873e-05
25,0.013542448353303165,9.321153091320102e-05
26,0.013505129767606946,7.742435894881567e-05
27,0.013508861268699502,9.550380755019277e-05
28,0.013509388241963082,0.00011532189064927668
29,0.013547144746944122,0.0001168553732977075
30,0.013532956031833597,7.916994765956763e-05
31,0.013522068101027374,9.866683149505615e-05
32,0.013506864330886012,0.00010981588035724859
33,0.01352079266243446,9.608695398097917e-05
34,0.013507095540815904,8.846585920883059e-05
35,0.013499349771043216,9.192287080307149e-05
36,0.013512151096989443,0.00010598886928345849
37,0.01351333692959471,9.111096003605121e-05
38,0.01353779054432357,0.00011319443386129884
39,0.01350840358574629,0.00011512425881252751
40,0.013523588758409309,0.00010072928069998393
41,0.013511493502165883,8.89883251290715e-05
42,0.01350802101104114,0.00010152264816212012
43,0.013507956752489962,0.00010883289145516239
44,0.013503735513666204,8.210068513467334e-05
45,0.013481309494946055,9.74223324396219e-05
46,0.013511694105911985,0.00010317191333417616
47,0.013519792283467556,9.735353134909595e-05
48,0.013539819479628687,0.0001118998095771728
49,0.013517860510580482,0.00010883915514186374
50,0.013514851062405724,8.660260036578195e-05
